Date,Open,High,Low,Close,Volume
2021-01-04,33.42,33.48,33.25,33.27,1930100
2021-01-05,33.22,33.39,33.17,33.36,1330200
2021-01-06,33.26,33.37,33.21,33.27,3063100
2021-01-07,33.06,33.08,32.81,32.85,3106500
2021-01-08,32.98,33.03,32.77,32.9,1509900
2021-01-11,32.55,32.62,32.51,32.55,1834700
2021-01-12,32.65,32.92,32.59,32.91,1488200
2021-01-13,32.85,32.89,32.78,32.84,1400400
2021-01-14,32.89,33.09,32.84,33.02,2072700
2021-01-15,32.85,32.9,32.74,32.81,943800
2021-01-19,33.0,33.0,32.87,32.89,1946900
2021-01-20,32.96,33.07,32.95,33.06,2155000
2021-01-21,33.09,33.1,32.91,33.0,1825500
2021-01-22,32.83,32.83,32.68,32.77,1896700
2021-01-25,32.77,32.77,32.56,32.65,1893000
2021-01-26,32.82,32.85,32.74,32.83,1359800
2021-01-27,32.68,32.68,32.51,32.56,2371400
2021-01-28,32.66,32.73,32.62,32.67,3122000
2021-01-29,32.79,32.79,32.64,32.65,1473900
2021-02-01,32.68,32.68,32.59,32.62,1662000
2021-02-02,32.77,32.79,32.69,32.74,2012400
2021-02-03,32.84,32.84,32.72,32.79,1382000
2021-02-04,32.72,32.72,32.56,32.59,4001700
2021-02-05,32.78,32.82,32.73,32.77,1521500
2021-02-08,32.74,32.82,32.73,32.8,1758800
2021-02-09,32.82,32.92,32.79,32.91,2263700
2021-02-10,32.97,33.0,32.93,32.99,2721200
2021-02-11,33.05,33.09,32.97,33.01,2480100
2021-02-12,32.88,32.99,32.85,32.93,2474000
2021-02-16,32.77,32.83,32.68,32.71,2573400
2021-02-17,32.57,32.71,32.55,32.68,2720400
2021-02-18,32.65,32.65,32.54,32.59,2755500
2021-02-19,32.56,32.59,32.44,32.45,3538500
2021-02-22,32.14,32.29,32.12,32.15,3460200
2021-02-23,32.32,32.44,32.24,32.41,1828700
2021-02-24,32.33,32.52,32.28,32.5,2315700
2021-02-25,32.21,32.25,31.71,31.75,2715700
2021-02-26,31.84,31.84,31.58,31.72,2622400
2021-03-01,31.75,31.91,31.74,31.77,3734100
2021-03-02,31.72,31.78,31.6,31.69,2904800
2021-03-03,31.57,31.57,31.41,31.51,2963200
2021-03-04,31.57,31.65,31.25,31.25,4219200
2021-03-05,31.21,31.21,30.97,31.12,3296100
2021-03-08,30.85,30.9,30.64,30.65,3138600
2021-03-09,30.88,31.03,30.88,30.99,2761000
2021-03-10,31.11,31.23,31.04,31.21,1449600
2021-03-11,31.4,31.58,31.36,31.56,1694900
2021-03-12,31.27,31.3,31.21,31.3,2157700
2021-03-15,31.27,31.3,31.2,31.29,818800
2021-03-16,31.36,31.4,31.26,31.3,726500
2021-03-17,31.12,31.51,31.05,31.43,2455400
2021-03-18,31.16,31.24,31.11,31.14,2136900
2021-03-19,31.23,31.35,31.19,31.3,1878200
2021-03-22,31.07,31.14,31.01,31.09,736400
2021-03-23,30.92,30.98,30.78,30.81,1627800
2021-03-24,30.85,30.85,30.58,30.62,2234700
2021-03-25,30.63,30.64,30.55,30.59,4790600
2021-03-26,30.63,30.68,30.56,30.65,1249600
2021-03-29,30.51,30.56,30.44,30.46,1315300
2021-03-30,30.41,30.44,30.35,30.43,824700
2021-03-31,30.54,30.73,30.54,30.68,4158600
2021-04-01,30.69,30.74,30.61,30.66,1439200
2021-04-05,30.72,30.77,30.69,30.72,1903900
2021-04-06,30.82,30.96,30.8,30.93,1373700
2021-04-07,31.0,31.03,30.92,30.95,1502200
2021-04-08,31.11,31.22,31.1,31.22,1795600
2021-04-09,31.01,31.06,30.99,31.0,1390100
2021-04-12,31.03,31.05,30.92,30.96,1243900
2021-04-13,30.93,31.11,30.93,31.09,1468700
2021-04-14,31.12,31.22,31.12,31.2,2905800
2021-04-15,31.33,31.45,31.3,31.44,1495100
2021-04-16,31.37,31.4,31.32,31.36,2245200
2021-04-19,31.4,31.45,31.36,31.42,1061800
2021-04-20,31.4,31.45,31.33,31.38,2605400
2021-04-21,31.32,31.39,31.3,31.39,696600
2021-04-22,31.41,31.41,31.28,31.33,1650800
2021-04-23,31.4,31.42,31.33,31.4,1746500
2021-04-26,31.3,31.33,31.25,31.25,1340400
2021-04-27,31.2,31.24,31.15,31.17,1541100
2021-04-28,31.22,31.39,31.19,31.38,2713700
2021-04-29,31.32,31.36,31.21,31.35,641800
2021-04-30,31.28,31.3,31.1,31.11,1515700
2021-05-03,31.14,31.25,31.12,31.21,976700
2021-05-04,31.07,31.11,31.0,31.02,1841300
2021-05-05,31.11,31.16,31.06,31.12,1907000
2021-05-06,31.25,31.51,31.23,31.5,4953600
2021-05-07,31.6,31.86,31.6,31.79,4362000
2021-05-10,31.8,31.81,31.71,31.72,1008600
2021-05-11,31.64,31.78,31.62,31.74,608400
2021-05-12,31.52,31.58,31.34,31.36,2005000
2021-05-13,31.4,31.56,31.4,31.53,1009300
2021-05-14,31.72,31.75,31.64,31.64,1522200
2021-05-17,31.58,31.65,31.57,31.63,441600
2021-05-18,31.72,31.76,31.67,31.72,1140400
2021-05-19,31.6,31.67,31.47,31.52,1015300
2021-05-20,31.62,31.71,31.59,31.71,841600
2021-05-21,31.72,31.73,31.55,31.6,529200
2021-05-24,31.65,31.69,31.64,31.68,537300
2021-05-25,31.75,31.75,31.66,31.72,428100
2021-05-26,31.73,31.79,31.71,31.72,1547300
2021-05-27,31.71,31.77,31.66,31.75,919500
2021-05-28,31.74,31.9,31.74,31.87,1205500
2021-06-01,31.87,31.89,31.84,31.88,1261300
2021-06-02,31.83,32.0,31.81,32.0,1510600
2021-06-03,31.89,31.9,31.75,31.79,2425800
2021-06-04,31.97,32.13,31.97,32.13,1399800
2021-06-07,32.09,32.11,32.04,32.06,1344300
2021-06-08,32.09,32.09,32.04,32.07,904600
2021-06-09,32.21,32.21,32.05,32.08,1688800
2021-06-10,32.1,32.19,32.08,32.17,1479500
2021-06-11,32.14,32.14,31.94,31.98,823300
2021-06-14,31.98,31.98,31.89,31.93,804400
2021-06-15,31.87,31.88,31.73,31.88,1609000
2021-06-16,31.89,31.98,31.46,31.46,2256000
2021-06-17,31.51,31.51,31.34,31.4,3025000
2021-06-18,31.39,31.39,31.16,31.16,3681000
2021-06-21,31.19,31.29,31.14,31.28,845600
2021-06-22,31.21,31.37,31.16,31.36,1081300
2021-06-23,31.42,31.47,31.35,31.38,1781000
2021-06-24,31.49,31.56,31.45,31.52,791100
2021-06-25,31.59,31.6,31.46,31.5,750700
2021-06-28,31.46,31.61,31.46,31.6,2859400
2021-06-29,31.44,31.53,31.43,31.47,6750400
2021-06-30,31.38,31.45,31.33,31.38,3671000
2021-07-01,31.32,31.32,31.1,31.12,2237600
2021-07-02,31.2,31.31,31.15,31.29,3103200
2021-07-06,31.13,31.16,30.99,31.01,4590800
2021-07-07,31.05,31.05,30.88,30.97,3535200
2021-07-08,30.89,30.96,30.85,30.92,3993700
2021-07-09,31.02,31.09,31.01,31.09,5322800
2021-07-12,30.97,31.05,30.96,31.03,2329100
2021-07-13,30.94,30.99,30.82,30.83,1239800
2021-07-14,31.05,31.12,31.0,31.12,2089200
2021-07-15,31.06,31.11,31.0,31.03,1620900
2021-07-16,31.08,31.15,31.05,31.07,1755000
2021-07-19,30.97,31.0,30.8,30.84,4089000
2021-07-20,30.82,30.93,30.8,30.9,1964000
2021-07-21,30.85,30.98,30.82,30.94,4085400
2021-07-22,31.0,31.0,30.88,30.97,1074000
2021-07-23,30.95,30.97,30.87,30.91,1286500
2021-07-26,30.85,30.95,30.84,30.92,1809800
2021-07-27,30.95,30.96,30.89,30.94,871200
2021-07-28,30.93,31.09,30.81,31.08,3536100
2021-07-29,31.17,31.28,31.17,31.26,1376600
2021-07-30,31.27,31.29,31.1,31.11,1292100
2021-08-02,31.15,31.17,31.02,31.04,1793000
2021-08-03,31.03,31.11,30.97,31.1,1552600
2021-08-04,31.15,31.19,30.98,31.01,1589800
2021-08-05,31.05,31.09,30.91,30.94,1640400
2021-08-06,30.84,30.86,30.69,30.69,2135600
2021-08-09,30.68,30.69,30.53,30.57,2370800
2021-08-10,30.59,30.61,30.54,30.57,934000
2021-08-11,30.68,30.75,30.64,30.71,2540600
2021-08-12,30.69,30.74,30.66,30.7,1078900
2021-08-13,30.74,30.84,30.71,30.82,737000
2021-08-16,30.76,30.8,30.74,30.75,480000
2021-08-17,30.65,30.71,30.57,30.62,1247400
2021-08-18,30.63,30.68,30.56,30.57,639500
2021-08-19,30.39,30.43,30.35,30.38,1840100
2021-08-20,30.34,30.41,30.32,30.4,1169800
2021-08-23,30.51,30.53,30.44,30.51,524400
2021-08-24,30.62,30.72,30.59,30.66,2631600
2021-08-25,30.66,30.73,30.62,30.72,5486500
2021-08-26,30.67,30.74,30.66,30.67,2063200
2021-08-27,30.69,30.95,30.69,30.94,2551600
2021-08-30,30.98,31.05,30.95,31.01,1987900
2021-08-31,31.15,31.23,31.13,31.17,4254400
2021-09-01,31.11,31.17,31.08,31.09,3445300
2021-09-02,31.12,31.13,31.05,31.08,1983600
2021-09-03,31.11,31.14,31.08,31.09,594600
2021-09-07,30.95,31.0,30.9,30.97,2349600
2021-09-08,30.88,30.92,30.81,30.84,1620500
2021-09-09,30.9,30.93,30.83,30.92,1576600
2021-09-10,30.98,30.99,30.85,30.88,1663800
2021-09-13,30.91,30.95,30.88,30.93,1988500
2021-09-14,30.96,30.99,30.88,30.89,1133200
2021-09-15,30.9,30.92,30.85,30.92,3109900
2021-09-16,30.73,30.77,30.69,30.69,2602400
2021-09-17,30.62,30.64,30.51,30.54,1695800
2021-09-20,30.4,30.43,30.31,30.38,2633800
2021-09-21,30.44,30.49,30.39,30.48,2853500
2021-09-22,30.49,30.62,30.43,30.46,3226700
2021-09-23,30.47,30.64,30.44,30.45,1311200
2021-09-24,30.28,30.32,30.22,30.29,4192800
2021-09-27,30.19,30.28,30.19,30.25,1823500
2021-09-28,30.1,30.1,29.98,30.01,3432700
2021-09-29,29.99,30.02,29.89,29.91,1769800
2021-09-30,29.98,30.06,29.95,29.97,2237200
2021-10-01,30.01,30.07,29.96,30.05,2234300
2021-10-04,29.94,29.95,29.8,29.87,4144100
2021-10-05,29.81,29.83,29.76,29.8,1928900
2021-10-06,29.67,29.79,29.66,29.78,2334600
2021-10-07,29.77,29.86,29.77,29.81,3493300
2021-10-08,29.82,29.82,29.69,29.74,1302500
2021-10-11,29.67,29.71,29.57,29.57,857900
2021-10-12,29.66,29.74,29.62,29.7,4365000
2021-10-13,29.76,29.91,29.76,29.89,3516400
2021-10-14,29.94,29.96,29.88,29.92,2404200
2021-10-15,29.9,29.99,29.88,29.98,2042400
2021-10-18,29.77,29.87,29.76,29.83,1492300
2021-10-19,29.91,29.96,29.87,29.89,2089300
2021-10-20,29.91,29.99,29.9,29.96,2288000
2021-10-21,29.77,29.79,29.61,29.64,3316100
2021-10-22,29.63,29.67,29.5,29.66,3690500
2021-10-25,29.66,29.75,29.66,29.72,1329900
2021-10-26,29.76,29.76,29.66,29.69,943800
2021-10-27,29.7,29.73,29.64,29.66,1416600
2021-10-28,29.59,29.67,29.55,29.55,2764400
2021-10-29,29.48,29.5,29.4,29.44,1519800
2021-11-01,29.26,29.28,29.19,29.21,1237900
2021-11-02,29.23,29.26,29.2,29.23,1988800
2021-11-03,29.19,29.35,29.1,29.33,2110200
2021-11-04,29.25,29.32,29.24,29.28,1219300
2021-11-05,29.4,29.54,29.38,29.5,2432600
2021-11-08,29.54,29.6,29.53,29.57,1137000
2021-11-09,29.65,29.69,29.59,29.68,2150500
2021-11-10,29.64,29.66,29.39,29.39,1750100
