Date,Open,High,Low,Close,Volume
2021-01-01,73.09,73.32,73.03,73.09,0
2021-01-04,73.09,73.2,72.8,73.09,0
2021-01-05,73.09,73.33,72.96,73.32,0
2021-01-06,73.17,73.36,73.04,73.37,0
2021-01-07,73.37,73.47,73.06,73.36,0
2021-01-08,73.73,73.74,73.2,73.45,0
2021-01-11,73.37,73.58,73.34,73.37,0
2021-01-12,73.78,73.78,73.2,73.51,0
2021-01-13,73.41,73.41,73.06,73.17,0
2021-01-14,73.17,73.35,72.94,73.17,0
2021-01-15,73.09,73.38,73.0,73.09,0
2021-01-18,73.16,73.42,73.12,73.16,0
2021-01-19,73.19,73.31,73.1,73.19,0
2021-01-20,73.19,73.19,72.9,73.19,0
2021-01-21,72.91,73.05,72.88,72.91,0
2021-01-22,72.95,73.24,72.93,72.95,0
2021-01-25,73.0,73.22,72.88,73.0,0
2021-01-26,72.97,73.22,72.77,72.97,0
2021-01-27,72.92,73.07,72.8,72.92,0
2021-01-28,73.04,73.17,72.9,73.04,0
2021-01-29,72.94,73.03,72.77,72.94,0
2021-02-01,72.91,73.2,72.82,72.91,0
2021-02-02,73.12,73.32,72.91,73.12,0
2021-02-03,72.95,73.0,72.82,72.92,0
2021-02-04,72.86,72.99,72.83,72.86,0
2021-02-05,72.99,73.02,72.78,72.95,0
2021-02-08,72.78,73.01,72.78,72.78,0
2021-02-09,72.93,73.0,72.8,72.93,0
2021-02-10,72.86,73.11,72.78,72.85,0
2021-02-11,72.81,72.88,72.67,72.81,0
2021-02-12,72.71,72.83,72.56,72.71,0
2021-02-15,72.59,72.68,72.44,72.59,0
2021-02-16,72.64,72.91,72.59,72.64,0
2021-02-17,72.93,73.15,72.72,72.93,0
2021-02-18,72.79,72.8,72.54,72.8,0
2021-02-19,72.61,72.71,72.4,72.61,0
2021-02-22,72.55,72.59,72.31,72.55,0
2021-02-23,72.46,72.56,72.32,72.44,0
2021-02-24,72.38,72.6,72.27,72.38,0
2021-02-25,72.4,72.77,72.28,72.4,0
2021-02-26,73.15,74.18,72.88,73.15,0
2021-03-01,73.6,74.12,73.18,73.6,0
2021-03-02,73.31,73.87,73.28,73.31,0
2021-03-03,73.28,73.32,72.73,73.28,0
2021-03-04,72.88,73.11,72.61,72.88,0
2021-03-05,73.13,73.31,72.74,73.13,0
2021-03-08,73.13,73.42,72.94,73.13,0
2021-03-09,73.33,73.39,72.89,73.33,0
2021-03-10,72.78,73.08,72.76,72.78,0
2021-03-11,72.71,72.8,72.56,72.71,0
2021-03-12,72.64,72.87,72.57,72.64,0
2021-03-15,72.68,72.78,72.39,72.68,0
2021-03-16,72.52,72.95,72.37,72.52,0
2021-03-17,72.52,73.01,72.5,72.52,0
2021-03-18,72.57,72.74,72.3,72.3,0
2021-03-19,72.67,72.74,72.45,72.67,0
2021-03-22,72.4,72.95,72.3,72.4,0
2021-03-23,72.38,72.54,72.27,72.38,0
2021-03-24,72.61,73.08,72.5,72.61,0
2021-03-25,72.65,73.14,72.55,72.65,0
2021-03-26,72.61,72.66,72.37,72.61,0
2021-03-29,72.45,72.83,72.45,72.45,0
2021-03-30,72.74,73.65,72.71,72.74,0
2021-03-31,73.45,73.61,73.05,73.45,0
2021-04-01,73.2,73.46,73.11,73.2,0
