Date,Open,High,Low,Close,Volume
2021-01-01,103.23,103.25,103.23,103.23,0
2021-01-04,103.24,103.24,102.71,103.24,0
2021-01-05,103.14,103.18,102.67,103.12,0
2021-01-06,102.7,103.43,102.59,102.68,0
2021-01-07,103.03,103.95,102.96,103.02,0
2021-01-08,103.79,104.08,103.62,103.79,0
2021-01-11,104.07,104.39,104.04,104.09,0
2021-01-12,104.13,104.32,104.09,104.13,0
2021-01-13,103.75,103.99,103.54,103.75,0
2021-01-14,103.85,104.19,103.64,103.84,0
2021-01-15,103.84,103.89,103.62,103.83,0
2021-01-18,103.91,103.92,103.64,103.91,0
2021-01-19,103.7,104.08,103.65,103.7,0
2021-01-20,103.9,103.92,103.46,103.9,0
2021-01-21,103.56,103.66,103.33,103.56,0
2021-01-22,103.51,103.88,103.5,103.51,0
2021-01-25,103.79,103.93,103.68,103.78,0
2021-01-26,103.76,103.83,103.56,103.76,0
2021-01-27,103.6,104.17,103.59,103.6,0
2021-01-28,104.14,104.45,104.14,104.14,0
2021-01-29,104.31,104.93,104.29,104.29,0
2021-02-01,104.72,104.99,104.62,104.69,0
2021-02-02,104.88,105.16,104.82,104.88,0
2021-02-03,105.02,105.1,104.92,105.03,0
2021-02-04,105.0,105.49,104.97,105.0,0
2021-02-05,105.57,105.76,105.33,105.57,0
2021-02-08,105.4,105.67,105.16,105.4,0
2021-02-09,105.23,105.23,104.51,105.21,0
2021-02-10,104.58,104.84,104.42,104.57,0
2021-02-11,104.62,104.78,104.55,104.61,0
2021-02-12,104.75,105.17,104.72,104.74,0
2021-02-15,105.06,105.4,104.98,105.06,0
2021-02-16,105.39,105.87,105.2,105.39,0
2021-02-17,106.13,106.21,105.82,106.1,0
2021-02-18,105.86,105.92,105.6,105.86,0
2021-02-19,105.67,105.73,105.25,105.65,0
2021-02-22,105.54,105.84,105.0,105.51,0
2021-02-23,105.01,105.41,104.9,104.98,0
2021-02-24,105.29,106.09,105.27,105.28,0
2021-02-25,105.95,106.29,105.86,105.94,0
2021-02-26,106.39,106.68,105.86,106.38,0
2021-03-01,106.47,106.77,106.38,106.5,0
2021-03-02,106.85,106.95,106.69,106.85,0
2021-03-03,106.75,107.14,106.7,106.76,0
2021-03-04,107.06,107.64,106.97,107.06,0
2021-03-05,107.96,108.61,107.83,107.96,0
2021-03-08,108.4,108.94,108.31,108.42,0
2021-03-09,108.93,109.23,108.56,108.94,0
2021-03-10,108.56,108.92,108.34,108.58,0
2021-03-11,108.44,108.8,108.36,108.43,0
2021-03-12,108.57,109.15,108.52,108.56,0
2021-03-15,109.11,109.36,108.93,109.12,0
2021-03-16,109.12,109.28,108.78,109.13,0
2021-03-17,109.02,109.28,109.01,109.03,0
2021-03-18,108.91,109.28,108.69,108.89,0
2021-03-19,108.93,109.1,108.61,108.93,0
2021-03-22,108.88,108.95,108.62,108.87,0
2021-03-23,108.78,108.87,108.42,108.78,0
2021-03-24,108.52,108.94,108.46,108.52,0
2021-03-25,108.78,109.19,108.78,108.79,0
2021-03-26,109.18,109.83,109.14,109.18,0
2021-03-29,109.78,109.78,109.38,109.79,0
2021-03-30,109.83,110.42,109.79,109.84,0
2021-03-31,110.29,110.95,110.28,110.31,0
2021-04-01,110.74,110.85,110.56,110.75,0
2021-04-02,110.62,110.74,110.38,110.61,0
2021-04-05,110.67,110.71,109.96,110.68,0
2021-04-06,110.19,110.55,109.69,110.19,0
2021-04-07,109.78,109.93,109.59,109.79,0
2021-04-08,109.88,109.89,109.0,109.85,0
2021-04-09,109.32,109.95,109.22,109.33,0
2021-04-12,109.72,109.76,109.25,109.69,0
2021-04-13,109.38,109.75,109.04,109.37,0
2021-04-14,108.92,109.08,108.76,108.92,0
2021-04-15,108.89,108.95,108.62,108.89,0
2021-04-16,108.65,108.96,108.62,108.69,0
2021-04-19,108.69,108.75,108.01,108.72,0
2021-04-20,108.11,108.52,107.98,108.1,0
2021-04-21,108.13,108.27,107.89,108.13,0
2021-04-22,108.03,108.19,107.82,108.04,0
2021-04-23,107.94,108.12,107.47,107.98,0
2021-04-26,107.88,108.19,107.65,107.87,0
2021-04-27,108.19,108.57,108.1,108.2,0
2021-04-28,108.74,109.07,108.71,108.75,0
2021-04-29,108.5,109.22,108.44,108.5,0
2021-04-30,108.92,109.33,108.71,108.9,0
2021-05-03,109.3,109.69,108.91,109.28,0
2021-05-04,109.09,109.48,109.05,109.09,0
2021-05-05,109.33,109.46,109.15,109.33,0
2021-05-06,109.19,109.42,109.05,109.22,0
2021-05-07,109.01,109.28,108.35,109.05,0
2021-05-10,108.6,109.04,108.59,108.57,0
2021-05-11,108.83,108.97,108.38,108.84,0
2021-05-12,108.72,109.54,108.66,108.71,0
2021-05-13,109.72,109.78,109.48,109.66,0
2021-05-14,109.52,109.64,109.23,109.52,0
2021-05-17,109.41,109.5,109.07,109.41,0
2021-05-18,109.28,109.28,108.84,109.24,0
2021-05-19,108.86,109.32,108.58,108.87,0
2021-05-20,109.26,109.28,108.75,109.27,0
2021-05-21,108.83,108.97,108.61,108.86,0
2021-05-24,108.92,108.98,108.7,108.92,0
2021-05-25,108.82,109.06,108.58,108.85,0
2021-05-26,108.79,109.14,108.72,108.8,0
2021-05-27,109.19,109.84,109.04,109.17,0
2021-05-28,109.84,110.2,109.79,109.81,0
2021-05-31,109.92,109.93,109.37,109.91,0
2021-06-01,109.48,109.69,109.33,109.49,0
2021-06-02,109.48,109.88,109.48,109.49,0
2021-06-03,109.59,110.31,109.58,109.6,0
2021-06-04,110.29,110.32,109.37,110.27,0
2021-06-07,109.63,109.63,109.18,109.62,0
2021-06-08,109.29,109.55,109.21,109.27,0
2021-06-09,109.49,109.64,109.23,109.47,0
2021-06-10,109.65,109.78,109.43,109.61,0
2021-06-11,109.39,109.84,109.32,109.41,0
2021-06-14,109.74,110.0,109.61,109.71,0
2021-06-15,110.03,110.16,109.99,110.04,0
2021-06-16,110.07,110.14,109.81,110.08,0
2021-06-17,110.78,110.82,110.21,110.77,0
2021-06-18,110.31,110.47,109.95,110.32,0
2021-06-21,110.19,110.33,109.74,110.2,0
2021-06-22,110.39,110.79,110.22,110.37,0
2021-06-23,110.68,111.09,110.68,110.65,0
2021-06-24,110.99,111.1,110.71,111.01,0
2021-06-25,110.92,110.97,110.48,110.92,0
2021-06-28,110.8,110.97,110.51,110.82,0
2021-06-29,110.6,110.75,110.44,110.6,0
2021-06-30,110.52,111.07,110.43,110.54,0
2021-07-01,111.13,111.62,111.03,111.12,0
2021-07-02,111.58,111.66,111.15,111.57,0
2021-07-05,111.14,111.18,110.8,111.14,0
2021-07-06,110.91,110.91,110.53,110.92,0
2021-07-07,110.57,110.81,110.4,110.6,0
2021-07-08,110.62,110.62,109.54,110.64,0
2021-07-09,109.79,110.25,109.77,109.8,0
2021-07-12,110.21,110.39,109.98,110.21,0
2021-07-13,110.33,110.55,110.2,110.32,0
2021-07-14,110.6,110.69,109.99,110.6,0
2021-07-15,109.99,110.08,109.72,109.98,0
2021-07-16,109.76,110.34,109.73,109.78,0
2021-07-19,109.9,110.03,109.09,109.87,0
2021-07-20,109.53,109.95,109.33,109.53,0
2021-07-21,109.93,110.38,109.81,109.92,0
2021-07-22,110.24,110.35,110.02,110.25,0
2021-07-23,110.13,110.58,110.11,110.14,0
2021-07-26,110.54,110.58,110.13,110.54,0
2021-07-27,110.31,110.32,109.62,110.3,0
2021-07-28,109.78,110.22,109.75,109.81,0
2021-07-29,109.88,109.89,109.47,109.89,0
2021-07-30,109.39,109.79,109.37,109.41,0
2021-08-02,109.69,109.74,109.2,109.71,0
2021-08-03,109.27,109.33,108.88,109.27,0
2021-08-04,108.99,109.65,108.73,108.99,0
2021-08-05,109.54,109.78,109.41,109.53,0
2021-08-06,109.75,110.35,109.7,109.75,0
2021-08-09,110.26,110.31,110.03,110.26,0
2021-08-10,110.32,110.59,110.3,110.31,0
2021-08-11,110.6,110.8,110.39,110.6,0
2021-08-12,110.36,110.53,110.32,110.37,0
2021-08-13,110.41,110.46,109.74,110.4,0
2021-08-16,109.59,109.59,109.11,109.62,0
2021-08-17,109.3,109.65,109.14,109.3,0
2021-08-18,109.54,109.94,109.48,109.54,0
2021-08-19,109.85,110.21,109.49,109.84,0
2021-08-20,109.78,109.89,109.58,109.77,0
2021-08-23,109.86,110.14,109.73,109.84,0
2021-08-24,109.67,109.88,109.42,109.68,0
2021-08-25,109.74,110.1,109.68,109.73,0
2021-08-26,110.0,110.22,109.93,109.98,0
2021-08-27,110.04,110.26,109.84,110.05,0
2021-08-30,109.84,109.96,109.71,109.86,0
2021-08-31,109.94,110.07,109.6,109.94,0
2021-09-01,110.06,110.41,109.88,110.06,0
2021-09-02,110.11,110.11,109.93,110.1,0
2021-09-03,109.94,110.07,109.6,109.94,0
2021-09-06,109.78,109.93,109.75,109.76,0
2021-09-07,109.82,110.25,109.69,109.82,0
2021-09-08,110.29,110.44,110.14,110.3,0
2021-09-09,110.22,110.27,109.75,110.22,0
2021-09-10,109.77,109.98,109.7,109.78,0
2021-09-13,109.91,110.16,109.9,109.92,0
2021-09-14,109.99,110.14,109.62,109.99,0
2021-09-15,109.71,109.72,109.11,109.72,0
2021-09-16,109.39,109.82,109.21,109.38,0
2021-09-17,109.69,110.07,109.67,109.7,0
2021-09-20,109.98,110.03,109.43,109.97,0
2021-09-21,109.43,109.69,109.19,109.44,0
2021-09-22,109.15,109.64,109.13,109.15,0
2021-09-23,109.81,110.19,109.79,109.82,0
2021-09-24,110.32,110.74,110.31,110.33,0
2021-09-27,110.75,111.06,110.53,110.76,0
2021-09-28,110.96,111.63,110.94,110.96,0
2021-09-29,111.51,111.92,111.22,111.53,0
2021-09-30,111.92,112.07,111.41,111.94,0
2021-10-01,111.46,111.48,110.91,111.46,0
2021-10-04,110.96,111.3,110.84,110.95,0
2021-10-05,110.97,111.55,110.88,110.97,0
2021-10-06,111.52,111.77,111.21,111.49,0
2021-10-07,111.41,111.55,111.24,111.41,0
2021-10-08,111.67,112.18,111.52,111.66,0
2021-10-11,112.27,113.38,112.18,112.27,0
2021-10-12,113.41,113.78,113.02,113.39,0
2021-10-13,113.54,113.79,113.25,113.52,0
2021-10-14,113.3,113.71,113.28,113.3,0
2021-10-15,113.84,114.45,113.82,113.83,0
2021-10-18,114.31,114.44,114.02,114.32,0
2021-10-19,114.29,114.35,113.88,114.29,0
2021-10-20,114.53,114.68,114.14,114.54,0
2021-10-21,114.38,114.39,113.67,114.39,0
2021-10-22,113.85,114.18,113.51,113.85,0
2021-10-25,113.64,113.9,113.49,113.66,0
2021-10-26,113.76,114.3,113.72,113.76,0
2021-10-27,114.18,114.21,113.42,114.19,0
2021-10-28,113.77,113.86,113.25,113.78,0
2021-10-29,113.64,114.09,113.39,113.62,0
2021-11-01,114.22,114.43,114.03,114.24,0
2021-11-02,114.08,114.13,113.47,114.09,0
2021-11-03,113.97,114.14,113.72,113.96,0
2021-11-04,114.07,114.27,113.53,114.07,0
2021-11-05,113.82,114.0,113.43,113.84,0
2021-11-08,113.46,113.66,113.08,113.47,0
2021-11-09,113.24,113.25,112.73,113.25,0
2021-11-10,112.91,113.94,112.77,112.91,0
2021-11-11,113.93,114.13,113.81,113.9,0
2021-11-12,114.05,114.3,113.77,114.04,0
2021-11-15,113.99,114.04,113.76,113.98,0
2021-11-16,114.13,114.63,114.11,114.13,0
2021-11-17,114.92,114.94,114.33,114.9,0
2021-11-18,114.21,114.47,113.88,114.19,0
2021-11-19,114.32,114.52,113.6,114.28,0
2021-11-22,114.14,114.81,114.02,114.14,0
2021-11-23,114.8,115.15,114.55,114.79,0
2021-11-24,115.16,115.48,114.83,115.14,0
2021-11-25,115.41,115.44,115.24,115.41,0
2021-11-26,115.1,115.1,113.06,115.07,0
2021-11-29,113.71,113.93,113.04,113.72,0
2021-11-30,113.81,113.89,112.54,113.8,0
2021-12-01,113.26,113.61,112.77,113.3,0
2021-12-02,112.86,113.31,112.71,112.88,0
2021-12-03,113.03,113.61,112.86,113.02,0
2021-12-06,113.01,113.48,112.86,113.04,0
2021-12-07,113.49,113.77,113.41,113.46,0
2021-12-08,113.52,113.93,113.32,113.53,0
2021-12-09,113.71,113.81,113.28,113.68,0
2021-12-10,113.44,113.79,113.24,113.45,0
2021-12-13,113.51,113.72,113.39,113.5,0
2021-12-14,113.57,113.75,113.44,113.58,0
2021-12-15,113.74,113.9,113.63,113.74,0
2021-12-16,114.16,114.25,113.56,114.14,0
2021-12-17,113.68,113.85,113.15,113.66,0
2021-12-20,113.55,113.68,113.33,113.52,0
2021-12-21,113.66,114.16,113.57,113.66,0
2021-12-22,114.01,114.36,114.0,113.99,0
2021-12-23,114.12,114.44,114.11,114.12,0
2021-12-24,114.46,114.5,114.3,114.46,0
2021-12-27,114.34,114.9,114.32,114.33,0
2021-12-28,114.79,114.93,114.71,114.79,0
2021-12-29,114.77,115.03,114.67,114.77,0
2021-12-30,114.96,115.2,114.95,114.95,0
2021-12-31,115.06,115.19,115.0,115.06,0
2022-01-03,115.14,115.36,114.97,115.14,0
2022-01-04,115.32,116.34,115.3,115.33,0
2022-01-05,116.17,116.24,115.63,116.17,0
2022-01-06,116.13,116.18,115.65,116.13,0
2022-01-07,115.87,116.03,115.59,115.86,0
2022-01-10,115.62,115.84,115.04,115.62,0
2022-01-11,115.28,115.68,115.14,115.28,0
2022-01-12,115.33,115.46,114.71,115.33,0
2022-01-13,114.67,114.69,114.01,114.68,0
2022-01-14,114.1,114.17,113.5,114.12,0
2022-01-17,114.31,114.64,114.28,114.31,0
2022-01-18,114.57,115.03,114.45,114.57,0
2022-01-19,114.56,114.77,114.22,114.55,0
2022-01-20,114.35,114.53,113.98,114.35,0
2022-01-21,113.95,114.02,113.62,113.99,0
2022-01-24,113.79,113.99,113.49,113.79,0
2022-01-25,114.01,114.14,113.68,114.01,0
2022-01-26,113.89,114.38,113.79,113.88,0
2022-01-27,114.72,115.48,114.49,114.72,0
2022-01-28,115.37,115.67,115.14,115.35,0
2022-01-31,115.24,115.58,115.18,115.26,0
2022-02-01,115.14,115.19,114.57,115.12,0
2022-02-02,114.72,114.8,114.19,114.74,0
2022-02-03,114.37,114.97,114.33,114.38,0
2022-02-04,114.97,115.43,114.78,114.96,0
2022-02-07,115.25,115.37,114.92,115.22,0
2022-02-08,115.07,115.62,115.07,115.06,0
2022-02-09,115.54,115.58,115.32,115.53,0
2022-02-10,115.6,116.32,115.49,115.6,0
2022-02-11,116.05,116.17,115.78,116.05,0
2022-02-14,115.56,115.72,115.02,115.58,0
2022-02-15,115.54,115.87,115.26,115.54,0
2022-02-16,115.64,115.77,115.39,115.64,0
2022-02-17,115.39,115.53,114.86,115.39,0
2022-02-18,114.86,115.26,114.79,114.87,0
2022-02-21,114.96,115.11,114.8,114.96,0
2022-02-22,114.58,115.23,114.53,114.61,0
2022-02-23,115.1,115.18,114.97,115.1,0
2022-02-24,114.92,115.63,114.41,114.9,0
2022-02-25,115.55,115.63,115.15,115.57,0
2022-02-28,115.59,115.65,115.09,115.58,0
2022-03-01,115.08,115.26,114.72,115.08,0
2022-03-02,114.82,115.68,114.79,114.83,0
2022-03-03,115.5,115.8,115.5,115.52,0
2022-03-04,115.48,115.53,114.65,115.47,0
2022-03-07,114.94,115.47,114.84,114.95,0
2022-03-08,115.37,115.78,115.33,115.37,0
2022-03-09,115.74,115.94,115.58,115.72,0
2022-03-10,115.91,116.19,115.82,115.91,0
2022-03-11,116.16,117.16,116.15,116.18,0
2022-03-14,117.5,118.06,117.47,117.53,0
2022-03-15,118.22,118.43,117.75,118.22,0
2022-03-16,118.31,118.5,118.17,118.29,0
2022-03-17,118.89,119.0,118.42,118.87,0
2022-03-18,118.49,119.39,118.49,118.49,0
2022-03-21,119.26,119.29,119.1,119.26,0
2022-03-22,119.59,120.98,119.59,119.59,0
2022-03-23,121.26,121.3,120.63,121.34,0
2022-03-24,121.14,122.1,120.98,121.13,0
2022-03-25,122.35,122.35,121.22,122.35,0
2022-03-28,122.27,125.06,122.16,122.27,0
2022-03-29,123.66,124.21,122.06,123.66,0
2022-03-30,123.12,123.02,121.32,123.12,0
2022-03-31,122.02,122.42,121.29,122.02,0
2022-04-01,121.76,123.0,121.74,121.76,0
2022-04-04,122.61,122.93,122.29,122.61,0
2022-04-05,122.81,123.5,122.42,122.81,0
2022-04-06,123.66,124.04,123.59,123.66,0
2022-04-07,123.72,124.0,123.51,123.72,0
2022-04-08,124.1,124.65,123.68,124.1,0
2022-04-11,124.39,125.76,124.3,124.39,0
2022-04-12,125.47,125.74,124.87,125.47,0
2022-04-13,125.42,126.3,125.37,125.42,0
2022-04-14,125.38,125.99,125.13,125.38,0
2022-04-15,126.18,126.67,126.07,126.18,0
2022-04-18,126.62,126.79,126.26,126.62,0
2022-04-19,127.1,128.86,127.04,127.1,0
2022-04-20,129.33,129.37,127.51,129.33,0
2022-04-21,128.01,128.7,127.83,128.01,0
2022-04-22,128.41,129.06,127.81,128.41,0
2022-04-25,128.6,128.82,127.53,128.6,0
2022-04-26,127.74,128.19,127.04,127.74,0
2022-04-27,127.27,128.58,127.26,127.27,0
2022-04-28,128.39,131.22,128.37,128.39,0
2022-04-29,130.81,130.81,129.46,130.81,0
2022-05-02,130.01,130.47,129.62,130.01,0
2022-05-03,130.11,130.28,129.72,130.11,0
2022-05-04,130.12,130.2,129.8,130.12,0
2022-05-05,129.22,130.43,128.77,129.22,0
2022-05-06,130.33,130.8,130.22,130.33,0
2022-05-09,130.75,131.32,130.15,130.75,0
2022-05-10,130.38,130.53,129.82,130.38,0
2022-05-11,130.35,130.78,129.61,130.35,0
2022-05-12,129.84,129.9,127.58,129.84,0
2022-05-13,128.59,129.44,128.37,128.59,0
2022-05-16,129.43,129.6,128.71,129.43,0
2022-05-17,128.92,129.75,128.84,128.92,0
2022-05-18,129.45,129.43,128.12,129.45,0
2022-05-19,127.91,128.94,127.03,127.91,0
2022-05-20,127.83,128.28,127.54,127.83,0
2022-05-23,127.9,127.93,127.17,127.9,0
2022-05-24,127.85,128.05,126.39,127.85,0
2022-05-25,126.77,127.42,126.68,126.77,0
2022-05-26,127.15,127.56,126.57,127.15,0
2022-05-27,127.04,127.21,126.68,127.04,0
2022-05-30,127.29,127.81,126.87,127.29,0
2022-05-31,127.78,128.88,127.65,127.78,0
2022-06-01,128.74,130.12,128.8,128.74,0
2022-06-02,130.12,130.18,129.53,130.12,0
2022-06-03,129.92,130.97,129.7,129.92,0
2022-06-06,130.71,131.68,130.47,130.71,0
2022-06-07,132.18,132.99,132.1,132.18,0
2022-06-08,132.85,134.44,132.73,132.85,0
2022-06-09,134.43,134.55,133.19,134.43,0
2022-06-10,134.42,134.38,133.39,134.42,0
2022-06-13,134.81,135.16,133.61,134.81,0
2022-06-14,134.23,134.97,133.9,134.23,0
2022-06-15,135.29,135.29,134.3,135.29,0
2022-06-16,134.12,134.67,131.55,134.12,0
2022-06-17,132.42,135.41,132.19,132.42,0
2022-06-20,135.28,135.41,134.55,135.28,0
2022-06-21,135.09,136.33,134.95,135.09,0
2022-06-22,136.27,136.6,135.75,136.27,0
2022-06-23,136.02,136.18,134.29,136.02,0
2022-06-24,134.84,135.27,134.37,134.84,0
2022-06-27,135.06,135.54,134.54,135.06,0
2022-06-28,135.43,136.3,135.12,135.43,0
2022-06-29,136.05,137.0,135.81,136.05,0
2022-06-30,136.59,136.8,135.69,136.59,0
