Date,Open,High,Low,Close,Volume
2021-01-01,4.02,4.02,4.02,4.02,0
2021-01-04,4.01,4.02,3.99,4.02,0
2021-01-05,4.01,4.02,4.0,4.0,0
2021-01-06,4.01,4.02,4.0,4.01,0
2021-01-07,4.01,4.04,4.01,4.01,0
2021-01-08,4.04,4.05,4.03,4.04,0
2021-01-11,4.04,4.05,4.03,4.03,0
2021-01-12,4.05,4.07,4.05,4.05,0
2021-01-13,4.05,4.05,4.03,4.05,0
2021-01-14,4.04,4.04,4.03,4.04,0
2021-01-15,4.03,4.04,4.03,4.04,0
2021-01-18,4.04,4.05,4.04,4.03,0
2021-01-19,4.04,4.05,4.04,4.05,0
2021-01-20,4.05,4.05,4.04,4.05,0
2021-01-21,4.04,4.04,4.03,4.04,0
2021-01-22,4.03,4.04,4.03,4.03,0
2021-01-25,4.04,4.05,4.04,4.04,0
2021-01-26,4.04,4.05,4.04,4.04,0
2021-01-27,4.04,4.05,4.04,4.05,0
2021-01-28,4.04,4.04,4.04,4.04,0
2021-01-29,4.04,4.05,4.03,4.04,0
2021-02-01,4.04,4.04,4.04,4.04,0
2021-02-02,4.05,4.05,4.04,4.04,0
2021-02-03,4.04,4.05,4.04,4.04,0
2021-02-04,4.05,4.06,4.04,4.05,0
2021-02-05,4.06,4.07,4.04,4.06,0
2021-02-08,4.06,4.08,4.06,4.07,0
2021-02-09,4.06,4.06,4.05,4.06,0
2021-02-10,4.05,4.05,4.03,4.05,0
2021-02-11,4.04,4.05,4.04,4.04,0
2021-02-12,4.04,4.04,4.04,4.04,0
2021-02-15,4.04,4.04,4.03,4.04,0
2021-02-16,4.03,4.04,4.03,4.03,0
2021-02-17,4.04,4.05,4.03,4.03,0
2021-02-18,4.03,4.04,4.03,4.04,0
2021-02-19,4.04,4.04,4.04,4.04,0
2021-02-22,4.04,4.04,4.03,4.03,0
2021-02-23,4.04,4.04,4.04,4.04,0
2021-02-24,4.04,4.04,4.04,4.04,0
2021-02-25,4.04,4.04,4.03,4.04,0
2021-02-26,4.05,4.06,4.05,4.04,0
2021-03-01,4.05,4.05,4.05,4.05,0
2021-03-02,4.05,4.06,4.05,4.05,0
2021-03-03,4.05,4.05,4.05,4.06,0
2021-03-04,4.05,4.05,4.05,4.05,0
2021-03-05,4.06,4.07,4.06,4.05,0
2021-03-08,4.07,4.11,4.07,4.07,0
2021-03-09,4.11,4.13,4.11,4.11,0
2021-03-10,4.11,4.14,4.11,4.11,0
2021-03-11,4.12,4.12,4.11,4.12,0
2021-03-12,4.1,4.12,4.1,4.11,0
2021-03-15,4.11,4.12,4.11,4.12,0
2021-03-16,4.11,4.11,4.11,4.11,0
2021-03-17,4.11,4.12,4.11,4.11,0
2021-03-18,4.12,4.12,4.1,4.12,0
2021-03-19,4.11,4.12,4.1,4.11,0
2021-03-22,4.11,4.11,4.11,4.11,0
2021-03-23,4.11,4.12,4.11,4.11,0
2021-03-24,4.12,4.13,4.11,4.12,0
2021-03-25,4.13,4.14,4.13,4.13,0
2021-03-26,4.14,4.15,4.14,4.14,0
2021-03-29,4.14,4.15,4.14,4.14,0
2021-03-30,4.14,4.15,4.14,4.14,0
2021-03-31,4.15,4.16,4.14,4.15,0
2021-04-01,4.14,4.15,4.14,4.14,0
2021-04-02,4.14,4.14,4.14,4.14,0
2021-04-05,4.14,4.14,4.14,4.14,0
2021-04-06,4.13,4.13,4.13,4.14,0
2021-04-07,4.13,4.13,4.12,4.13,0
2021-04-08,4.13,4.14,4.13,4.13,0
2021-04-09,4.14,4.14,4.13,4.14,0
2021-04-12,4.13,4.14,4.13,4.13,0
2021-04-13,4.13,4.13,4.13,4.13,0
2021-04-14,4.13,4.13,4.12,4.13,0
2021-04-15,4.12,4.13,4.12,4.13,0
2021-04-16,4.12,4.13,4.12,4.12,0
2021-04-19,4.12,4.13,4.12,4.12,0
2021-04-20,4.12,4.12,4.11,4.12,0
2021-04-21,4.12,4.12,4.11,4.11,0
2021-04-22,4.12,4.12,4.11,4.12,0
2021-04-23,4.11,4.11,4.1,4.11,0
2021-04-26,4.11,4.11,4.1,4.11,0
2021-04-27,4.09,4.1,4.09,4.1,0
2021-04-28,4.1,4.1,4.1,4.09,0
2021-04-29,4.1,4.1,4.1,4.1,0
2021-04-30,4.1,4.1,4.09,4.1,0
2021-05-03,4.1,4.1,4.09,4.09,0
2021-05-04,4.1,4.12,4.1,4.1,0
2021-05-05,4.12,4.12,4.1,4.12,0
2021-05-06,4.12,4.12,4.11,4.11,0
2021-05-07,4.12,4.12,4.11,4.12,0
2021-05-10,4.11,4.11,4.1,4.11,0
2021-05-11,4.11,4.12,4.11,4.11,0
2021-05-12,4.12,4.13,4.12,4.12,0
2021-05-13,4.12,4.12,4.12,4.12,0
2021-05-14,4.12,4.12,4.12,4.12,0
2021-05-17,4.13,4.14,4.12,4.13,0
2021-05-18,4.12,4.13,4.12,4.13,0
2021-05-19,4.12,4.14,4.12,4.12,0
2021-05-20,4.14,4.14,4.12,4.14,0
2021-05-21,4.14,4.15,4.14,4.14,0
2021-05-24,4.14,4.15,4.13,4.14,0
2021-05-25,4.14,4.14,4.14,4.14,0
2021-05-26,4.14,4.14,4.14,4.14,0
2021-05-27,4.14,4.14,4.14,4.14,0
2021-05-28,4.14,4.14,4.13,4.14,0
2021-05-31,4.14,4.14,4.12,4.13,0
2021-06-01,4.12,4.13,4.11,4.12,0
2021-06-02,4.12,4.13,4.12,4.12,0
2021-06-03,4.12,4.12,4.12,4.12,0
2021-06-04,4.13,4.13,4.12,4.12,0
2021-06-07,4.13,4.13,4.13,4.13,0
2021-06-08,4.12,4.12,4.12,4.13,0
2021-06-09,4.12,4.12,4.11,4.12,0
2021-06-10,4.12,4.12,4.11,4.12,0
2021-06-11,4.12,4.12,4.1,4.12,0
2021-06-14,4.11,4.11,4.11,4.11,0
2021-06-15,4.11,4.11,4.11,4.11,0
2021-06-16,4.12,4.12,4.11,4.11,0
2021-06-17,4.13,4.14,4.13,4.11,0
2021-06-18,4.14,4.14,4.13,4.14,0
2021-06-21,4.14,4.15,4.14,4.14,0
2021-06-22,4.14,4.16,4.14,4.14,0
2021-06-23,4.15,4.17,4.15,4.16,0
2021-06-24,4.16,4.16,4.16,4.16,0
2021-06-25,4.16,4.16,4.15,4.16,0
2021-06-28,4.16,4.16,4.14,4.15,0
2021-06-29,4.14,4.15,4.14,4.14,0
2021-06-30,4.15,4.15,4.15,4.15,0
2021-07-01,4.15,4.16,4.15,4.15,0
2021-07-02,4.16,4.16,4.16,4.16,0
2021-07-05,4.15,4.16,4.15,4.16,0
2021-07-06,4.16,4.16,4.15,4.15,0
2021-07-07,4.16,4.16,4.15,4.14,0
2021-07-08,4.17,4.18,4.16,4.16,0
2021-07-09,4.18,4.19,4.18,4.18,0
2021-07-12,4.18,4.19,4.18,4.19,0
2021-07-13,4.19,4.19,4.18,4.19,0
2021-07-14,4.19,4.2,4.19,4.19,0
2021-07-15,4.19,4.2,4.19,4.2,0
2021-07-16,4.2,4.21,4.2,4.2,0
2021-07-19,4.21,4.22,4.2,4.21,0
2021-07-20,4.22,4.22,4.22,4.22,0
2021-07-21,4.23,4.24,4.22,4.22,0
2021-07-22,4.22,4.23,4.22,4.23,0
2021-07-23,4.22,4.22,4.22,4.22,0
2021-07-26,4.22,4.23,4.22,4.22,0
2021-07-27,4.23,4.23,4.22,4.23,0
2021-07-28,4.22,4.23,4.22,4.23,0
2021-07-29,4.23,4.24,4.22,4.23,0
2021-07-30,4.23,4.24,4.22,4.24,0
2021-08-02,4.22,4.22,4.22,4.22,0
2021-08-03,4.22,4.23,4.22,4.22,0
2021-08-04,4.22,4.23,4.22,4.23,0
2021-08-05,4.22,4.22,4.21,4.22,0
2021-08-06,4.22,4.22,4.21,4.22,0
2021-08-09,4.22,4.23,4.22,4.22,0
2021-08-10,4.23,4.23,4.23,4.23,0
2021-08-11,4.23,4.24,4.23,4.23,0
2021-08-12,4.23,4.24,4.23,4.23,0
2021-08-13,4.23,4.24,4.23,4.23,0
2021-08-16,4.24,4.24,4.23,4.24,0
2021-08-17,4.24,4.24,4.23,4.24,0
2021-08-18,4.24,4.24,4.22,4.24,0
2021-08-19,4.24,4.24,4.24,4.24,0
2021-08-20,4.24,4.24,4.23,4.24,0
2021-08-23,4.23,4.24,4.22,4.24,0
2021-08-24,4.22,4.23,4.21,4.22,0
2021-08-25,4.21,4.21,4.2,4.22,0
2021-08-26,4.2,4.2,4.18,4.2,0
2021-08-27,4.19,4.2,4.19,4.19,0
2021-08-30,4.18,4.18,4.15,4.19,0
2021-08-31,4.15,4.15,4.15,4.15,0
2021-09-01,4.15,4.15,4.14,4.16,0
2021-09-02,4.15,4.16,4.15,4.15,0
2021-09-03,4.15,4.15,4.14,4.16,0
2021-09-06,4.14,4.15,4.14,4.14,0
2021-09-07,4.14,4.16,4.14,4.15,0
2021-09-08,4.16,4.16,4.15,4.15,0
2021-09-09,4.15,4.15,4.14,4.15,0
2021-09-10,4.14,4.15,4.13,4.15,0
2021-09-13,4.14,4.19,4.14,4.13,0
2021-09-14,4.14,4.16,4.14,4.14,0
2021-09-15,4.16,4.16,4.15,4.16,0
2021-09-16,4.16,4.16,4.16,4.16,0
2021-09-17,4.16,4.17,4.16,4.16,0
2021-09-20,4.18,4.19,4.17,4.17,0
2021-09-21,4.19,4.19,4.18,4.19,0
2021-09-22,4.18,4.19,4.18,4.18,0
2021-09-23,4.19,4.2,4.18,4.19,0
2021-09-24,4.18,4.19,4.17,4.18,0
2021-09-27,4.19,4.19,4.18,4.19,0
2021-09-28,4.18,4.19,4.18,4.19,0
2021-09-29,4.18,4.19,4.18,4.18,0
