Date,Open,High,Low,Close,Volume
2021-01-01,3.72,3.75,3.71,3.72,0
2021-01-04,3.72,3.72,3.69,3.72,0
2021-01-05,3.72,3.72,3.69,3.72,0
2021-01-06,3.68,3.69,3.65,3.68,0
2021-01-07,3.67,3.69,3.66,3.67,0
2021-01-08,3.68,3.7,3.67,3.68,0
2021-01-11,3.7,3.73,3.7,3.7,0
2021-01-12,3.72,3.73,3.71,3.72,0
2021-01-13,3.7,3.73,3.69,3.7,0
2021-01-14,3.73,3.75,3.73,3.73,0
2021-01-15,3.74,3.76,3.73,3.73,0
2021-01-18,3.76,3.77,3.75,3.76,0
2021-01-19,3.75,3.75,3.73,3.75,0
2021-01-20,3.73,3.75,3.72,3.73,0
2021-01-21,3.74,3.74,3.72,3.74,0
2021-01-22,3.72,3.73,3.72,3.72,0
2021-01-25,3.73,3.75,3.72,3.73,0
2021-01-26,3.74,3.75,3.73,3.74,0
2021-01-27,3.74,3.77,3.73,3.73,0
2021-01-28,3.76,3.77,3.74,3.75,0
2021-01-29,3.75,3.75,3.72,3.75,0
2021-02-01,3.73,3.74,3.72,3.73,0
2021-02-02,3.74,3.74,3.72,3.74,0
2021-02-03,3.72,3.74,3.71,3.72,0
2021-02-04,3.72,3.76,3.72,3.72,0
2021-02-05,3.76,3.76,3.72,3.76,0
2021-02-08,3.72,3.73,3.71,3.72,0
2021-02-09,3.71,3.71,3.69,3.71,0
2021-02-10,3.69,3.7,3.68,3.69,0
2021-02-11,3.71,3.72,3.7,3.7,0
2021-02-12,3.71,3.72,3.71,3.71,0
2021-02-15,3.71,3.71,3.69,3.71,0
2021-02-16,3.7,3.72,3.68,3.69,0
2021-02-17,3.72,3.74,3.71,3.72,0
2021-02-18,3.73,3.73,3.71,3.73,0
2021-02-19,3.71,3.72,3.69,3.71,0
2021-02-22,3.7,3.72,3.69,3.7,0
2021-02-23,3.69,3.71,3.69,3.69,0
2021-02-24,3.71,3.73,3.7,3.71,0
2021-02-25,3.7,3.71,3.68,3.7,0
2021-02-26,3.72,3.74,3.71,3.71,0
2021-03-01,3.74,3.76,3.73,3.74,0
2021-03-02,3.76,3.78,3.76,3.76,0
2021-03-03,3.75,3.78,3.74,3.75,0
2021-03-04,3.77,3.79,3.76,3.77,0
2021-03-05,3.81,3.86,3.81,3.81,0
2021-03-08,3.84,3.88,3.84,3.84,0
2021-03-09,3.88,3.88,3.84,3.88,0
2021-03-10,3.84,3.85,3.83,3.84,0
2021-03-11,3.84,3.84,3.81,3.84,0
2021-03-12,3.82,3.85,3.82,3.82,0
2021-03-15,3.83,3.85,3.83,3.83,0
2021-03-16,3.85,3.87,3.84,3.85,0
2021-03-17,3.86,3.88,3.86,3.86,0
2021-03-18,3.84,3.88,3.83,3.84,0
2021-03-19,3.87,3.89,3.87,3.87,0
2021-03-22,3.89,3.89,3.85,3.89,0
2021-03-23,3.85,3.89,3.85,3.85,0
2021-03-24,3.9,3.92,3.9,3.9,0
2021-03-25,3.91,3.95,3.91,3.91,0
2021-03-26,3.93,3.95,3.92,3.93,0
2021-03-29,3.93,3.97,3.93,3.93,0
2021-03-30,3.96,3.98,3.95,3.96,0
2021-03-31,3.97,3.98,3.94,3.97,0
2021-04-01,3.94,3.95,3.89,3.95,0
2021-04-02,3.89,3.92,3.88,3.89,0
2021-04-05,3.91,3.92,3.88,3.91,0
2021-04-06,3.88,3.9,3.87,3.88,0
2021-04-07,3.86,3.87,3.83,3.86,0
2021-04-08,3.85,3.85,3.81,3.85,0
2021-04-09,3.81,3.84,3.8,3.81,0
2021-04-12,3.81,3.82,3.79,3.81,0
2021-04-13,3.8,3.84,3.8,3.8,0
2021-04-14,3.82,3.82,3.8,3.82,0
2021-04-15,3.8,3.81,3.79,3.8,0
2021-04-16,3.8,3.81,3.78,3.8,0
2021-04-19,3.79,3.8,3.77,3.79,0
2021-04-20,3.78,3.78,3.77,3.78,0
2021-04-21,3.78,3.8,3.77,3.78,0
2021-04-22,3.78,3.8,3.77,3.78,0
2021-04-23,3.8,3.8,3.77,3.8,0
2021-04-26,3.76,3.78,3.76,3.76,0
2021-04-27,3.77,3.79,3.77,3.77,0
2021-04-28,3.78,3.81,3.78,3.78,0
2021-04-29,3.76,3.78,3.76,3.77,0
2021-04-30,3.77,3.79,3.76,3.77,0
2021-05-03,3.79,3.79,3.76,3.79,0
2021-05-04,3.77,3.8,3.76,3.76,0
2021-05-05,3.79,3.82,3.78,3.79,0
2021-05-06,3.81,3.82,3.79,3.81,0
2021-05-07,3.79,3.8,3.74,3.79,0
2021-05-10,3.74,3.76,3.74,3.74,0
2021-05-11,3.75,3.77,3.73,3.75,0
2021-05-12,3.73,3.77,3.73,3.73,0
2021-05-13,3.77,3.77,3.74,3.77,0
2021-05-14,3.75,3.75,3.72,3.75,0
2021-05-17,3.73,3.74,3.72,3.72,0
2021-05-18,3.72,3.72,3.69,3.72,0
2021-05-19,3.7,3.71,3.69,3.7,0
2021-05-20,3.71,3.72,3.67,3.72,0
2021-05-21,3.68,3.69,3.67,3.68,0
2021-05-24,3.69,3.69,3.66,3.69,0
2021-05-25,3.67,3.67,3.65,3.67,0
2021-05-26,3.66,3.69,3.65,3.66,0
2021-05-27,3.69,3.7,3.67,3.69,0
2021-05-28,3.68,3.7,3.67,3.68,0
2021-05-31,3.68,3.68,3.66,3.68,0
2021-06-01,3.66,3.67,3.64,3.66,0
2021-06-02,3.65,3.67,3.64,3.65,0
2021-06-03,3.65,3.68,3.65,3.65,0
2021-06-04,3.68,3.69,3.66,3.67,0
2021-06-07,3.66,3.68,3.65,3.66,0
2021-06-08,3.66,3.67,3.66,3.66,0
2021-06-09,3.66,3.67,3.65,3.67,0
2021-06-10,3.67,3.69,3.66,3.67,0
2021-06-11,3.67,3.71,3.66,3.67,0
2021-06-14,3.71,3.73,3.7,3.71,0
2021-06-15,3.73,3.74,3.72,3.72,0
2021-06-16,3.73,3.74,3.71,3.73,0
2021-06-17,3.77,3.82,3.77,3.77,0
2021-06-18,3.82,3.84,3.81,3.82,0
2021-06-21,3.83,3.84,3.8,3.83,0
2021-06-22,3.8,3.82,3.79,3.8,0
2021-06-23,3.78,3.79,3.78,3.78,0
2021-06-24,3.79,3.8,3.78,3.79,0
2021-06-25,3.79,3.79,3.77,3.79,0
2021-06-28,3.78,3.79,3.77,3.78,0
2021-06-29,3.77,3.8,3.77,3.77,0
2021-06-30,3.8,3.82,3.79,3.8,0
2021-07-01,3.81,3.82,3.79,3.81,0
2021-07-02,3.81,3.83,3.81,3.81,0
2021-07-05,3.8,3.81,3.79,3.8,0
2021-07-06,3.79,3.82,3.78,3.79,0
2021-07-07,3.82,3.85,3.81,3.82,0
2021-07-08,3.83,3.85,3.82,3.84,0
2021-07-09,3.83,3.84,3.83,3.83,0
2021-07-12,3.83,3.85,3.82,3.83,0
2021-07-13,3.83,3.88,3.83,3.84,0
2021-07-14,3.89,3.9,3.86,3.89,0
2021-07-15,3.86,3.88,3.86,3.86,0
2021-07-16,3.87,3.89,3.87,3.87,0
2021-07-19,3.88,3.9,3.88,3.88,0
2021-07-20,3.9,3.91,3.89,3.89,0
2021-07-21,3.9,3.91,3.88,3.9,0
2021-07-22,3.88,3.89,3.85,3.88,0
2021-07-23,3.88,3.89,3.87,3.88,0
2021-07-26,3.89,3.9,3.88,3.89,0
2021-07-27,3.89,3.91,3.88,3.89,0
2021-07-28,3.89,3.9,3.88,3.89,0
2021-07-29,3.88,3.88,3.85,3.88,0
2021-07-30,3.84,3.85,3.83,3.84,0
2021-08-02,3.85,3.85,3.83,3.85,0
2021-08-03,3.84,3.84,3.82,3.84,0
2021-08-04,3.83,3.84,3.81,3.83,0
2021-08-05,3.84,3.85,3.83,3.84,0
2021-08-06,3.84,3.89,3.84,3.84,0
2021-08-09,3.89,3.9,3.87,3.89,0
2021-08-10,3.89,3.91,3.88,3.89,0
2021-08-11,3.9,3.92,3.89,3.9,0
2021-08-12,3.9,3.91,3.89,3.9,0
2021-08-13,3.9,3.9,3.87,3.9,0
2021-08-16,3.87,3.88,3.87,3.87,0
2021-08-17,3.87,3.9,3.87,3.87,0
2021-08-18,3.89,3.9,3.88,3.89,0
2021-08-19,3.89,3.93,3.89,3.89,0
2021-08-20,3.92,3.93,3.92,3.92,0
2021-08-23,3.91,3.92,3.9,3.91,0
2021-08-24,3.9,3.91,3.88,3.9,0
2021-08-25,3.89,3.9,3.88,3.89,0
2021-08-26,3.89,3.9,3.88,3.88,0
2021-08-27,3.89,3.9,3.88,3.89,0
2021-08-30,3.87,3.88,3.86,3.87,0
2021-08-31,3.86,3.86,3.81,3.86,0
