Date,Open,High,Low,Close,Volume
2019-01-02,21.28,21.31,21.26,21.31,1400
2019-01-03,21.35,21.46,21.33,21.46,12400
2019-01-04,21.38,21.38,21.31,21.35,11800
2019-01-07,21.36,21.38,21.32,21.33,16000
2019-01-08,21.32,21.36,21.3,21.31,60200
2019-01-09,21.31,21.31,21.28,21.3,10100
2019-01-10,21.35,21.35,21.3,21.3,16500
2019-01-11,21.34,21.35,21.32,21.33,11100
2019-01-14,21.36,21.36,21.29,21.29,20500
2019-01-15,21.28,21.31,21.26,21.28,56100
2019-01-16,21.25,21.27,21.23,21.24,16300
2019-01-17,21.25,21.29,21.24,21.25,47100
2019-01-18,21.24,21.24,21.2,21.23,16500
2019-01-21,21.24,21.27,21.23,21.26,7400
2019-01-22,21.31,21.33,21.29,21.33,71400
2019-01-23,21.31,21.32,21.29,21.3,54700
2019-01-24,21.34,21.37,21.34,21.35,19400
2019-01-25,21.25,21.29,21.25,21.27,14400
2019-01-28,21.29,21.3,21.27,21.27,60100
2019-01-29,21.27,21.32,21.27,21.31,33400
2019-01-30,21.3,21.35,21.27,21.35,40600
2019-01-31,21.43,21.45,21.42,21.44,22200
2019-02-01,21.41,21.41,21.34,21.35,88000
2019-02-04,21.37,21.37,21.35,21.35,13200
2019-02-05,21.4,21.43,21.38,21.41,34100
2019-02-06,21.45,21.45,21.4,21.41,145400
2019-02-07,21.49,21.49,21.45,21.46,30900
2019-02-08,21.46,21.47,21.45,21.46,10200
2019-02-11,21.43,21.44,21.41,21.42,7000
2019-02-12,21.41,21.43,21.41,21.43,40200
2019-02-13,21.41,21.44,21.4,21.41,21000
2019-02-14,21.5,21.51,21.48,21.5,47300
2019-02-15,21.48,21.51,21.48,21.51,29600
2019-02-19,21.52,21.52,21.49,21.51,7800
2019-02-20,21.52,21.53,21.5,21.52,16800
2019-02-21,21.48,21.5,21.45,21.48,37600
2019-02-22,21.48,21.5,21.47,21.49,16100
2019-02-25,21.44,21.49,21.44,21.49,21800
2019-02-26,21.52,21.54,21.51,21.54,20300
2019-02-27,21.5,21.5,21.46,21.48,9800
2019-02-28,21.47,21.47,21.43,21.44,10900
2019-03-01,21.44,21.46,21.41,21.41,60700
2019-03-04,21.42,21.48,21.42,21.47,27700
2019-03-05,21.48,21.52,21.48,21.51,6000
2019-03-06,21.56,21.62,21.56,21.57,108500
2019-03-07,21.6,21.67,21.6,21.67,101900
2019-03-08,21.66,21.66,21.62,21.66,56100
2019-03-11,21.67,21.69,21.67,21.69,7000
2019-03-12,21.72,21.76,21.7,21.75,12400
2019-03-13,21.72,21.73,21.71,21.71,10300
2019-03-14,21.71,21.73,21.7,21.72,36800
2019-03-15,21.75,21.79,21.75,21.79,12100
2019-03-18,21.8,21.82,21.78,21.79,24700
2019-03-19,21.78,21.81,21.75,21.81,16400
2019-03-20,21.8,21.88,21.8,21.88,41400
2019-03-21,21.9,21.91,21.84,21.88,12000
2019-03-22,21.98,22.01,21.96,21.98,37200
2019-03-25,21.98,22.04,21.96,22.01,23600
2019-03-26,21.96,22.0,21.94,21.99,24700
2019-03-27,22.02,22.05,22.02,22.04,22300
2019-03-28,21.99,22.02,21.97,22.0,56100
2019-03-29,21.9,21.93,21.9,21.92,16100
2019-04-01,21.91,21.91,21.8,21.8,21400
2019-04-02,21.83,21.87,21.83,21.85,26900
2019-04-03,21.8,21.83,21.8,21.81,17900
2019-04-04,21.84,21.86,21.83,21.84,8400
2019-04-05,21.85,21.87,21.84,21.85,15700
2019-04-08,21.85,21.85,21.8,21.8,10200
2019-04-09,21.82,21.83,21.79,21.8,457600
2019-04-10,21.8,21.84,21.8,21.82,18600
2019-04-11,21.82,21.82,21.78,21.78,6900
2019-04-12,21.74,21.74,21.7,21.7,3900
2019-04-15,21.69,21.75,21.68,21.74,36900
2019-04-16,21.72,21.72,21.68,21.69,17600
2019-04-17,21.63,21.68,21.63,21.68,11300
2019-04-18,21.71,21.75,21.71,21.75,26500
2019-04-22,21.72,21.72,21.68,21.69,19700
2019-04-23,21.73,21.76,21.71,21.76,66300
2019-04-24,21.82,21.84,21.82,21.84,119400
2019-04-25,21.8,21.82,21.79,21.81,162400
2019-04-26,21.84,21.85,21.83,21.84,21300
2019-04-29,21.8,21.81,21.77,21.78,33900
2019-04-30,21.77,21.81,21.77,21.81,25700
2019-05-01,21.84,21.87,21.84,21.84,29100
2019-05-02,21.81,21.81,21.72,21.73,295700
2019-05-03,21.74,21.75,21.72,21.74,37700
2019-05-06,21.79,21.8,21.79,21.79,68000
2019-05-07,21.85,21.88,21.83,21.87,70100
2019-05-08,21.9,21.9,21.82,21.85,106800
2019-05-09,21.92,21.92,21.86,21.86,65500
2019-05-10,21.86,21.88,21.82,21.83,26900
2019-05-13,21.92,21.94,21.9,21.92,69200
2019-05-14,21.89,21.89,21.85,21.88,91900
2019-05-15,21.99,21.99,21.91,21.94,61800
2019-05-16,21.92,21.94,21.9,21.94,38500
2019-05-17,21.99,21.99,21.9,21.91,33500
2019-05-21,21.83,21.87,21.81,21.84,58500
2019-05-22,21.82,21.88,21.82,21.84,44600
2019-05-23,21.91,22.02,21.91,21.98,128000
2019-05-24,21.95,21.99,21.95,21.99,19500
2019-05-27,21.99,22.03,21.99,22.01,45200
2019-05-28,22.04,22.07,22.04,22.06,65900
2019-05-29,22.07,22.12,22.04,22.05,42100
2019-05-30,22.06,22.08,22.02,22.08,22600
2019-05-31,22.16,22.2,22.13,22.18,61800
2019-06-03,22.2,22.29,22.2,22.27,28300
2019-06-04,22.23,22.25,22.21,22.21,5500
2019-06-05,22.25,22.27,22.25,22.27,65500
2019-06-06,22.28,22.29,22.22,22.22,28600
2019-06-07,22.26,22.27,22.24,22.24,26900
2019-06-10,22.16,22.19,22.16,22.18,4000
2019-06-11,22.13,22.17,22.12,22.16,3600
2019-06-12,22.2,22.22,22.16,22.2,12200
2019-06-13,22.25,22.29,22.22,22.27,23400
2019-06-14,22.29,22.31,22.27,22.29,27300
2019-06-17,22.3,22.33,22.3,22.32,26500
2019-06-18,22.37,22.39,22.32,22.35,29500
2019-06-19,22.28,22.33,22.28,22.32,3600
2019-06-20,22.32,22.37,22.32,22.35,11900
2019-06-21,22.27,22.29,22.27,22.28,9700
2019-06-24,22.34,22.34,22.31,22.31,4700
2019-06-25,22.33,22.35,22.32,22.33,10000
2019-06-26,22.34,22.34,22.23,22.23,19400
2019-06-27,22.26,22.3,22.25,22.27,4200
2019-06-28,22.27,22.33,22.27,22.29,7300
2019-07-02,22.27,22.33,22.27,22.3,25100
2019-07-03,22.33,22.37,22.33,22.34,8900
2019-07-04,22.34,22.34,22.31,22.34,4000
2019-07-05,22.23,22.23,22.15,22.17,21500
2019-07-08,22.18,22.2,22.15,22.15,18600
