Date,Open,High,Low,Close,Volume
2019-07-24,5.0,5.0,5.0,5.0,0
2019-07-25,5.0,5.0,5.0,5.0,0
2019-07-26,4.99,4.99,4.99,4.99,0
2019-07-29,4.98,4.98,4.98,4.98,0
2019-07-30,4.99,4.99,4.99,4.99,0
2019-07-31,5.0,5.0,5.0,5.0,0
2019-08-01,4.99,4.99,4.99,4.99,0
2019-08-02,4.97,4.97,4.97,4.97,0
2019-08-05,4.91,4.91,4.91,4.91,0
2019-08-06,4.91,4.91,4.91,4.91,0
2019-08-07,4.91,4.91,4.91,4.91,0
2019-08-08,4.91,4.91,4.91,4.91,0
2019-08-09,4.91,4.91,4.91,4.91,0
2019-08-12,4.9,4.9,4.9,4.9,0
2019-08-13,4.91,4.91,4.91,4.91,0
2019-08-14,4.95,4.95,4.95,4.95,0
2019-08-15,4.94,4.94,4.94,4.94,0
2019-08-16,4.93,4.93,4.93,4.93,0
2019-08-19,4.93,4.93,4.93,4.93,0
2019-08-20,4.92,4.92,4.92,4.92,0
2019-08-21,4.91,4.91,4.91,4.91,0
2019-08-22,4.89,4.89,4.89,4.89,0
2019-08-23,4.9,4.9,4.9,4.9,0
2019-08-27,4.84,4.84,4.84,4.84,0
2019-08-28,4.84,4.84,4.84,4.84,0
2019-08-29,4.85,4.85,4.85,4.85,0
2019-08-30,4.85,4.85,4.85,4.85,0
2019-09-02,4.83,4.83,4.83,4.83,0
2019-09-03,4.83,4.83,4.83,4.83,0
2019-09-04,4.85,4.85,4.85,4.85,0
2019-09-05,4.86,4.86,4.86,4.86,0
2019-09-06,4.88,4.88,4.88,4.88,0
2019-09-09,4.88,4.88,4.88,4.88,0
2019-09-10,4.89,4.89,4.89,4.89,0
2019-09-11,4.88,4.88,4.88,4.88,0
2019-09-12,4.9,4.9,4.9,4.9,0
2019-09-16,4.91,4.91,4.91,4.91,0
2019-09-17,4.89,4.89,4.89,4.89,0
2019-09-18,4.89,4.89,4.89,4.89,0
2019-09-19,4.89,4.89,4.89,4.89,0
2019-09-20,4.89,4.89,4.89,4.89,0
2019-09-23,4.87,4.87,4.87,4.87,0
2019-09-24,4.88,4.88,4.88,4.88,0
2019-09-25,4.87,4.87,4.87,4.87,0
2019-09-26,4.86,4.86,4.86,4.86,0
