Date,Open,High,Low,Close,Volume
2019-01-02,26.4,26.45,26.34,26.42,1709100
2019-01-03,26.45,26.53,26.39,26.49,1263000
2019-01-04,26.55,26.77,26.55,26.77,2464900
2019-01-07,26.81,26.87,26.77,26.78,2001400
2019-01-08,26.74,26.82,26.72,26.75,965600
2019-01-09,26.86,26.94,26.83,26.85,1273700
2019-01-10,26.81,26.88,26.78,26.83,1320600
2019-01-11,26.8,26.85,26.74,26.79,1418800
2019-01-14,26.77,26.84,26.73,26.76,1814100
2019-01-15,26.8,26.88,26.8,26.84,1608000
2019-01-16,26.95,26.97,26.83,26.87,13818100
2019-01-17,26.83,26.95,26.81,26.87,1739500
2019-01-18,27.01,27.1,26.97,27.05,1112500
2019-01-22,26.99,27.03,26.92,26.92,1461300
2019-01-23,27.1,27.1,27.02,27.1,1038700
2019-01-24,27.23,27.24,27.16,27.2,1220000
2019-01-25,27.2,27.24,27.12,27.15,2101900
2019-01-28,27.07,27.07,26.99,26.99,1880500
2019-01-29,26.99,27.03,26.96,26.99,1302400
2019-01-30,27.0,27.27,26.97,27.24,1636400
2019-01-31,27.44,27.54,27.36,27.54,4518700
2019-02-01,27.5,27.56,27.43,27.51,7343100
2019-02-04,27.46,27.5,27.42,27.45,2385000
2019-02-05,27.57,27.68,27.55,27.68,1359000
2019-02-06,27.56,27.68,27.5,27.54,2003500
2019-02-07,27.49,27.5,27.42,27.45,1086500
2019-02-08,27.39,27.44,27.32,27.36,2157600
2019-02-11,27.32,27.35,27.27,27.29,1606600
2019-02-12,27.4,27.43,27.34,27.42,2032700
2019-02-13,27.48,27.5,27.41,27.42,2107800
2019-02-14,27.41,27.49,27.38,27.47,1426300
2019-02-15,27.55,27.55,27.45,27.52,1077600
2019-02-19,27.45,27.46,27.39,27.41,3215400
2019-02-20,27.43,27.46,27.4,27.41,915500
2019-02-21,27.46,27.46,27.37,27.4,1280000
2019-02-22,27.5,27.56,27.44,27.55,1311700
2019-02-25,27.62,27.65,27.52,27.53,1958700
2019-02-26,27.56,27.67,27.53,27.61,1485800
2019-02-27,27.66,27.7,27.6,27.62,1232800
2019-02-28,27.67,27.7,27.6,27.64,1345300
2019-03-01,27.61,27.63,27.54,27.57,1866300
2019-03-04,27.56,27.58,27.48,27.54,1194000
2019-03-05,27.48,27.54,27.46,27.54,1540300
2019-03-06,27.49,27.57,27.44,27.5,1998400
2019-03-07,27.46,27.56,27.42,27.42,1932900
2019-03-08,27.34,27.52,27.33,27.48,1344800
2019-03-11,27.51,27.64,27.51,27.57,2145600
2019-03-12,27.58,27.72,27.58,27.7,1426700
2019-03-13,27.72,27.72,27.64,27.67,862700
2019-03-14,27.72,27.72,27.65,27.65,938700
2019-03-15,27.79,27.81,27.72,27.76,973300
2019-03-18,27.75,27.78,27.71,27.76,968500
2019-03-19,27.72,27.8,27.72,27.77,1130000
2019-03-20,27.79,28.03,27.7,27.94,10190600
2019-03-21,27.98,28.08,27.97,28.02,1183600
2019-03-22,27.92,27.94,27.8,27.82,1164100
2019-03-25,27.78,27.97,27.77,27.93,1948000
2019-03-26,27.93,28.04,27.88,28.03,1270400
2019-03-27,27.94,28.01,27.83,27.92,1463100
2019-03-28,27.8,27.93,27.79,27.92,1339400
2019-03-29,28.01,28.03,27.96,28.0,1546800
2019-04-01,28.08,28.12,28.05,28.1,3581900
2019-04-02,28.13,28.13,28.03,28.13,1930400
2019-04-03,28.09,28.13,28.03,28.03,2193100
2019-04-04,28.09,28.13,28.05,28.07,1188300
2019-04-05,28.15,28.23,28.1,28.23,1471900
2019-04-08,28.19,28.2,28.0,28.04,6626100
2019-04-09,28.11,28.13,28.02,28.06,10777000
2019-04-10,28.06,28.08,28.01,28.03,1047600
2019-04-11,27.93,28.06,27.92,27.93,1193700
2019-04-12,27.92,28.0,27.91,27.91,785600
2019-04-15,27.98,28.02,27.93,28.02,785300
2019-04-16,28.02,28.02,27.95,27.97,756200
2019-04-17,28.06,28.06,27.96,28.0,726400
2019-04-18,28.07,28.07,27.98,28.0,718400
2019-04-22,27.91,27.91,27.79,27.86,794400
2019-04-23,27.89,27.96,27.88,27.88,1199200
2019-04-24,27.92,27.95,27.83,27.85,1126900
2019-04-25,27.75,27.94,27.69,27.9,1421700
2019-04-26,27.96,27.98,27.84,27.86,808700
2019-04-29,27.89,27.96,27.86,27.92,606600
2019-04-30,27.98,27.99,27.93,27.96,920100
2019-05-01,28.0,28.17,27.94,27.97,2979300
2019-05-02,28.01,28.05,27.91,27.97,880100
2019-05-03,27.96,28.07,27.96,28.05,1030500
2019-05-06,27.94,28.08,27.94,28.06,540100
2019-05-07,28.04,28.04,27.89,27.91,1129300
2019-05-08,27.88,27.98,27.86,27.92,469600
2019-05-09,27.84,27.89,27.73,27.84,943600
2019-05-10,27.94,27.94,27.78,27.87,2157900
2019-05-13,27.77,27.78,27.62,27.63,792600
2019-05-14,27.71,27.77,27.68,27.71,977300
2019-05-15,27.8,27.85,27.71,27.81,1124700
2019-05-16,27.85,27.98,27.82,27.85,472500
2019-05-17,27.85,27.87,27.78,27.8,358400
2019-05-20,27.76,27.79,27.69,27.75,447100
2019-05-21,27.88,27.88,27.78,27.81,357100
2019-05-22,27.87,27.9,27.8,27.8,400200
2019-05-23,27.8,27.96,27.72,27.73,737500
2019-05-24,27.86,27.86,27.75,27.76,612800
2019-05-28,27.9,27.9,27.79,27.82,482400
2019-05-29,27.82,27.85,27.76,27.77,603500
2019-05-30,27.89,27.91,27.84,27.87,733900
2019-05-31,27.86,27.86,27.77,27.82,2379500
2019-06-03,27.8,27.91,27.79,27.85,2936400
2019-06-04,28.0,28.05,27.93,28.03,874400
2019-06-05,28.18,28.19,28.11,28.12,582600
2019-06-06,28.19,28.3,28.18,28.28,834100
2019-06-07,28.39,28.49,28.32,28.49,954200
2019-06-10,28.49,28.51,28.45,28.5,707100
2019-06-11,28.42,28.51,28.41,28.41,685900
2019-06-12,28.43,28.43,28.36,28.39,900200
2019-06-13,28.4,28.43,28.35,28.43,1304700
2019-06-14,28.44,28.44,28.39,28.43,441400
2019-06-17,28.5,28.5,28.42,28.43,859600
2019-06-18,28.65,28.81,28.64,28.81,722700
2019-06-19,28.8,29.08,28.79,29.05,2780700
2019-06-20,29.25,29.26,29.19,29.26,1521200
2019-06-21,29.09,29.1,28.97,28.99,648400
2019-06-24,28.94,28.98,28.91,28.94,907700
2019-06-25,28.92,28.93,28.81,28.83,1504900
2019-06-26,28.88,28.92,28.81,28.92,989300
2019-06-27,28.91,28.98,28.86,28.95,588200
2019-06-28,29.03,29.11,29.0,29.04,2860900
2019-07-01,29.29,29.34,29.21,29.3,4156000
2019-07-02,29.28,29.35,29.24,29.34,2060400
2019-07-03,29.43,29.46,29.34,29.46,707100
2019-07-05,29.37,29.37,29.19,29.31,1619200
2019-07-08,29.3,29.31,29.23,29.24,864200
2019-07-09,29.24,29.24,29.14,29.2,813100
2019-07-10,29.25,29.29,29.15,29.21,1013800
2019-07-11,29.27,29.27,29.1,29.13,1592000
2019-07-12,29.13,29.18,29.09,29.18,756000
2019-07-15,29.22,29.27,29.2,29.27,1100300
2019-07-16,29.31,29.31,29.19,29.25,1279300
2019-07-17,29.35,29.35,29.26,29.32,1028200
2019-07-18,29.44,29.44,29.21,29.35,2796200
2019-07-19,29.37,29.4,29.31,29.34,1232000
2019-07-22,29.27,29.36,29.27,29.34,841600
2019-07-23,29.37,29.42,29.35,29.42,1107700
2019-07-24,29.44,29.5,29.43,29.5,1048200
2019-07-25,29.56,29.56,29.39,29.46,1256900
2019-07-26,29.44,29.45,29.37,29.42,887200
2019-07-29,29.42,29.43,29.35,29.43,729000
2019-07-30,29.38,29.41,29.32,29.38,837300
2019-07-31,29.4,29.42,29.13,29.31,1962800
2019-08-01,29.13,29.46,29.13,29.4,2703900
2019-08-02,29.38,29.39,29.3,29.37,1531000
2019-08-05,29.14,29.23,29.02,29.06,1994900
2019-08-06,29.2,29.26,29.17,29.26,1461000
2019-08-07,29.43,29.46,29.33,29.42,1079000
2019-08-08,29.45,29.55,29.43,29.52,2083500
2019-08-09,29.52,29.62,29.52,29.57,1433200
2019-08-12,29.33,29.33,29.15,29.23,1768700
2019-08-13,29.07,29.32,29.02,29.2,2901800
2019-08-14,29.28,29.28,29.14,29.19,1187500
2019-08-15,29.15,29.28,29.15,29.28,1226700
2019-08-16,29.37,29.48,29.33,29.48,1846600
2019-08-19,29.21,29.37,29.16,29.23,1024300
2019-08-20,29.21,29.23,29.18,29.23,763800
2019-08-21,29.38,29.38,29.26,29.32,749000
2019-08-22,29.39,29.42,29.34,29.34,587800
2019-08-23,29.32,29.43,29.26,29.36,899100
2019-08-26,29.37,29.41,29.32,29.36,1216200
2019-08-27,29.36,29.46,29.35,29.4,1735100
2019-08-28,29.47,29.53,29.45,29.53,746500
2019-08-29,29.54,29.57,29.46,29.53,2033500
2019-08-30,29.61,29.68,29.57,29.64,604200
2019-09-03,29.78,29.78,29.65,29.7,2566300
2019-09-04,29.87,30.01,29.85,30.0,1027300
2019-09-05,30.05,30.05,29.79,29.81,1476600
2019-09-06,29.9,29.93,29.8,29.9,960400
2019-09-09,29.77,29.84,29.67,29.67,1492800
2019-09-10,29.63,29.74,29.4,29.45,921600
2019-09-11,29.42,29.49,29.42,29.42,1537200
2019-09-12,29.75,29.75,29.45,29.51,1263500
2019-09-13,29.43,29.43,29.08,29.08,1362800
2019-09-16,29.23,29.24,29.15,29.22,720600
2019-09-17,29.23,29.33,29.17,29.3,568500
2019-09-18,29.42,29.45,29.22,29.29,1060900
2019-09-19,29.42,29.53,29.31,29.45,2718400
2019-09-20,29.57,29.61,29.48,29.56,672100
2019-09-23,29.5,29.65,29.42,29.42,718700
2019-09-24,29.25,29.33,29.21,29.21,1233200
2019-09-25,29.16,29.22,29.07,29.11,941600
2019-09-26,29.14,29.21,29.12,29.16,881600
2019-09-27,29.24,29.25,29.09,29.11,1112700
2019-09-30,29.11,29.2,29.11,29.15,2471700
2019-10-01,29.05,29.17,29.04,29.06,2995100
2019-10-02,29.01,29.04,28.97,28.97,1515000
2019-10-03,29.06,29.2,29.05,29.15,1509000
2019-10-04,29.31,29.43,29.25,29.39,1035100
2019-10-07,29.37,29.39,29.25,29.26,801300
2019-10-08,29.24,29.31,29.21,29.26,951200
2019-10-09,29.27,29.32,29.18,29.26,2873100
2019-10-10,29.12,29.26,29.11,29.14,2407900
2019-10-11,29.15,29.23,29.1,29.17,1081000
2019-10-14,29.17,29.21,29.14,29.16,1393500
2019-10-15,29.23,29.24,29.18,29.21,951900
2019-10-16,29.26,29.26,29.15,29.16,1205500
2019-10-17,29.17,29.26,29.02,29.19,906000
2019-10-18,29.27,29.31,29.2,29.23,513900
2019-10-21,29.08,29.11,28.98,29.02,2768900
2019-10-22,29.09,29.22,29.03,29.08,1028900
2019-10-23,29.09,29.17,29.08,29.15,797700
2019-10-24,29.17,29.19,29.11,29.11,802300
2019-10-25,29.19,29.19,29.12,29.18,522400
2019-10-28,29.24,29.24,29.05,29.07,582500
2019-10-29,29.01,29.04,28.95,28.99,1337700
2019-10-30,29.02,29.05,28.85,29.01,1131700
2019-10-31,29.09,29.15,29.01,29.14,637200
2019-11-01,29.06,29.32,29.06,29.31,2566600
2019-11-04,29.28,29.31,29.21,29.25,1192800
2019-11-05,29.13,29.15,29.0,29.01,888700
2019-11-06,29.07,29.11,29.03,29.04,896800
2019-11-07,29.07,29.17,28.89,28.92,1084500
2019-11-08,28.94,29.02,28.93,28.96,956900
2019-11-11,29.01,29.12,28.93,28.93,432100
2019-11-12,29.0,29.0,28.87,28.88,867200
2019-11-13,28.86,28.88,28.84,28.84,551500
2019-11-14,29.02,29.04,28.97,29.03,1021600
2019-11-15,29.05,29.08,28.84,29.03,1041800
2019-11-18,28.88,28.94,28.74,28.75,1033900
2019-11-19,28.69,28.73,28.65,28.69,819200
2019-11-20,28.67,28.74,28.65,28.71,604800
2019-11-21,28.66,28.75,28.66,28.7,539300
2019-11-22,28.71,28.8,28.7,28.79,692200
2019-11-25,28.84,28.86,28.8,28.8,611700
2019-11-26,28.81,28.86,28.72,28.85,723300
2019-11-27,28.9,28.9,28.78,28.82,481500
2019-11-29,28.8,28.81,28.72,28.76,278600
2019-12-02,28.64,28.74,28.58,28.58,1179400
2019-12-03,28.62,28.65,28.57,28.63,876400
2019-12-04,28.76,28.79,28.67,28.75,612500
2019-12-05,28.77,28.82,28.73,28.79,615600
2019-12-06,28.85,28.9,28.77,28.86,773300
2019-12-09,28.97,29.01,28.92,28.97,700900
2019-12-10,29.05,29.06,28.97,28.97,677200
2019-12-11,29.01,29.21,29.01,29.21,1010200
2019-12-12,29.33,29.33,29.16,29.23,892600
2019-12-13,29.27,29.35,29.25,29.33,521400
2019-12-16,29.4,29.41,29.35,29.41,726200
2019-12-17,29.48,29.56,29.44,29.53,937200
2019-12-18,29.57,29.6,29.52,29.57,753900
2019-12-19,29.54,29.57,29.44,29.47,744800
2019-12-20,29.57,29.57,29.47,29.52,433800
2019-12-23,29.53,29.53,29.42,29.46,660700
2019-12-24,29.43,29.51,29.41,29.51,407000
2019-12-26,29.52,29.6,29.47,29.6,731500
2019-12-27,29.57,29.63,29.5,29.63,315700
2019-12-30,29.59,29.61,29.54,29.56,572000
2019-12-31,29.56,29.58,29.5,29.58,699700
2020-01-02,29.65,29.7,29.56,29.65,4178800
2020-01-03,29.7,29.7,29.52,29.53,2704000
2020-01-06,29.54,29.6,29.47,29.51,1753000
2020-01-07,29.61,29.61,29.51,29.55,1906800
2020-01-08,29.54,29.63,29.54,29.61,1287700
2020-01-09,29.62,29.62,29.54,29.58,1097100
2020-01-10,29.66,29.67,29.58,29.58,1356600
2020-01-13,29.66,29.68,29.6,29.65,971900
2020-01-14,29.6,29.69,29.57,29.61,7451300
2020-01-15,29.68,29.75,29.6,29.75,911900
2020-01-16,29.81,29.81,29.73,29.79,1193700
2020-01-17,29.76,29.79,29.75,29.78,1139500
2020-01-21,29.7,29.7,29.62,29.63,1176800
2020-01-22,29.68,29.69,29.65,29.68,2575100
2020-01-23,29.62,29.66,29.57,29.61,1329100
2020-01-24,29.57,29.65,29.54,29.54,2111100
2020-01-27,29.47,29.51,29.44,29.5,1055600
2020-01-28,29.59,29.66,29.59,29.64,987100
