Date,Open,High,Low,Close,Volume
2019-01-02,103.66,104.23,103.57,103.91,4241600
2019-01-03,103.91,104.71,103.84,104.35,3988000
2019-01-04,104.56,105.28,104.56,105.14,6787700
2019-01-07,105.36,105.69,105.24,105.59,8315200
2019-01-08,105.28,105.54,105.06,105.51,4462200
2019-01-09,105.75,105.88,105.51,105.7,4315400
2019-01-10,105.46,105.7,105.26,105.51,5080300
2019-01-11,105.45,105.61,105.13,105.52,4425400
2019-01-14,105.33,105.52,105.28,105.4,3388900
2019-01-15,105.72,105.91,105.69,105.76,6458700
2019-01-16,106.21,106.22,105.84,105.85,3549200
2019-01-17,105.87,106.28,105.62,106.21,4988600
2019-01-18,106.59,106.93,106.47,106.72,7720500
2019-01-22,106.76,106.86,106.53,106.75,5983700
2019-01-23,107.15,107.39,107.01,107.28,3434100
2019-01-24,107.7,107.85,107.62,107.8,3136300
2019-01-25,107.85,107.96,107.6,107.7,6431600
2019-01-28,107.29,107.29,107.0,107.21,5485100
2019-01-29,107.18,107.31,106.99,107.3,4031900
2019-01-30,107.09,108.21,107.06,108.06,5268100
2019-01-31,108.6,109.04,108.56,108.88,8407900
2019-02-01,108.25,108.68,108.02,108.59,13481600
2019-02-04,108.23,108.42,108.01,108.22,5968700
2019-02-05,108.82,109.04,108.49,108.94,5913300
2019-02-06,108.4,108.6,108.25,108.38,3680400
2019-02-07,108.18,108.29,108.0,108.18,7506700
2019-02-08,107.9,108.0,107.62,107.7,4336500
2019-02-11,107.5,107.69,107.36,107.45,5676600
2019-02-12,107.93,108.01,107.69,107.85,3228900
2019-02-13,108.1,108.18,107.85,107.86,5843400
2019-02-14,107.91,108.28,107.78,108.14,3100100
2019-02-15,108.28,108.32,108.03,108.23,8221800
2019-02-19,108.29,108.41,108.14,108.16,3980100
2019-02-20,108.25,108.36,108.08,108.17,1981700
2019-02-21,108.4,108.44,108.08,108.1,2771000
2019-02-22,108.33,108.8,108.33,108.77,2908100
2019-02-25,108.96,109.05,108.56,108.59,4948700
2019-02-26,108.74,109.02,108.61,108.91,2971200
2019-02-27,109.28,109.31,108.78,108.94,4394400
2019-02-28,109.0,109.0,108.69,108.87,5154700
2019-03-01,108.33,108.43,108.04,108.04,4825500
2019-03-04,108.25,108.25,107.76,107.98,5610800
2019-03-05,107.98,108.08,107.82,108.03,3170000
2019-03-06,108.08,108.23,107.91,107.94,3152900
2019-03-07,108.15,108.15,107.64,107.69,7931400
2019-03-08,107.66,107.99,107.48,107.99,4364900
2019-03-11,108.25,108.46,108.21,108.39,4401800
2019-03-12,108.57,108.81,108.57,108.73,3538900
2019-03-13,108.7,108.79,108.5,108.76,2460200
2019-03-14,108.82,108.82,108.53,108.6,4132000
2019-03-15,108.95,109.09,108.83,109.04,5163900
2019-03-18,109.18,109.3,109.01,109.14,3647800
2019-03-19,109.34,109.5,109.14,109.22,5537900
2019-03-20,109.22,110.37,108.97,110.19,7302200
2019-03-21,110.15,110.3,110.03,110.16,4208900
2019-03-22,109.75,109.82,109.3,109.43,5784000
2019-03-25,109.4,110.04,109.34,110.04,5680600
2019-03-26,109.98,110.22,109.94,110.14,4465800
2019-03-27,109.9,110.05,109.42,109.73,6022300
2019-03-28,109.56,109.99,109.52,109.96,3530000
2019-03-29,110.19,110.34,109.95,110.06,3849900
2019-04-01,110.0,110.09,109.76,109.8,5361100
2019-04-02,109.89,109.95,107.73,109.87,3906700
2019-04-03,109.85,109.95,109.61,109.62,2859800
2019-04-04,109.7,109.89,109.58,109.59,3540500
2019-04-05,109.77,110.21,109.75,110.02,3366500
2019-04-08,109.96,109.97,109.58,109.58,4782700
2019-04-09,110.03,110.03,109.58,109.65,11591300
2019-04-10,109.75,109.93,109.7,109.87,2851500
2019-04-11,109.53,109.71,109.4,109.47,5430200
2019-04-12,109.31,109.68,109.31,109.46,7801800
