Date,Open,High,Low,Close,Volume
2019-01-02,123.0,123.26,123.0,123.08,2464
2019-01-03,123.14,123.14,122.68,122.79,3129
2019-01-04,122.79,122.84,122.29,122.29,21852
2019-01-07,122.31,122.53,122.25,122.37,2723
2019-01-08,122.28,122.29,122.06,122.14,2004
2019-01-09,122.12,122.5,122.11,122.39,664
2019-01-10,122.5,122.63,122.47,122.57,2800
2019-01-11,122.69,122.86,122.61,122.77,4058
2019-01-14,122.68,123.0,122.68,122.96,3737
2019-01-15,122.94,123.11,122.89,123.0,3857
2019-01-16,123.04,123.14,122.94,123.12,6209
2019-01-17,122.79,122.96,122.6,122.96,4312
2019-01-18,122.59,122.74,122.57,122.71,2992
2019-01-21,122.72,122.72,122.52,122.57,3628
2019-01-22,122.71,122.83,122.59,122.76,1179
2019-01-23,122.8,122.86,122.64,122.86,995
2019-01-24,122.92,123.33,122.92,123.33,3086
2019-01-25,123.37,123.39,123.23,123.32,1869
2019-01-28,123.32,123.32,123.11,123.24,1390
2019-01-29,123.36,123.36,123.18,123.29,1587
2019-01-30,123.35,123.39,123.2,123.39,1731
2019-01-31,123.51,123.65,123.42,123.64,874
2019-02-01,123.64,123.64,123.21,123.3,2908
2019-02-04,123.18,123.29,123.1,123.18,6492
2019-02-05,123.08,123.22,123.0,123.15,3386
2019-02-06,123.06,123.15,122.99,123.04,2668
2019-02-07,122.98,123.08,122.84,123.02,3257
2019-02-08,122.96,123.07,122.91,123.04,3015
2019-02-11,123.02,123.11,122.89,123.08,2707
2019-02-12,123.03,123.12,122.96,123.0,2528
2019-02-13,123.03,123.26,123.03,123.26,1077
2019-02-14,123.25,123.41,123.19,123.25,3811
2019-02-15,123.33,123.37,123.09,123.37,4830
2019-02-18,123.38,123.42,123.28,123.34,2914
2019-02-19,123.36,123.46,123.25,123.4,6480
2019-02-20,123.4,123.43,123.28,123.35,7407
2019-02-21,123.24,123.3,123.11,123.28,12713
2019-02-22,123.2,123.39,123.2,123.35,8526
2019-02-25,123.5,123.54,123.3,123.52,1752
2019-02-26,123.5,123.67,123.46,123.6,2116
2019-02-27,123.5,123.54,123.17,123.28,4391
2019-02-28,123.34,123.34,123.04,123.12,50024
2019-03-01,123.06,123.25,122.9,123.11,50490
2019-03-04,123.04,123.29,123.0,123.29,40819
2019-03-05,123.18,123.33,123.12,123.33,19040
2019-03-06,123.45,123.75,123.29,123.75,12823
2019-03-07,123.65,124.45,123.5,124.45,33044
2019-03-08,124.24,124.4,124.21,124.4,23711
2019-03-11,124.39,124.39,124.17,124.29,12708
2019-03-12,124.07,124.28,123.99,124.28,7093
2019-03-13,124.2,124.21,124.04,124.21,8381
2019-03-14,124.15,124.34,124.07,124.28,11139
2019-03-15,124.21,124.44,124.17,124.3,12952
2019-03-18,124.21,124.48,124.21,124.48,6205
2019-03-19,124.42,124.53,124.16,124.36,8008
2019-03-20,124.26,124.35,124.17,124.32,3775
2019-03-21,124.53,124.88,124.53,124.88,12260
2019-03-22,124.7,125.33,124.7,125.2,14009
2019-03-25,125.15,125.21,125.04,125.21,5619
2019-03-26,125.01,125.27,125.01,125.27,2853
2019-03-27,125.36,125.71,125.3,125.71,4993
2019-03-28,125.57,125.57,125.31,125.49,5101
2019-03-29,125.34,125.43,125.22,125.43,7917
2019-04-01,125.04,125.12,124.86,124.92,15686
2019-04-02,124.89,125.14,124.89,125.14,4931
2019-04-03,124.71,124.86,124.71,124.71,11482
2019-04-04,124.83,125.01,124.69,125.01,16223
2019-04-05,124.81,125.14,124.81,125.01,7409
2019-04-08,125.09,125.17,125.04,125.15,9680
2019-04-09,125.18,125.29,125.12,125.28,1164
2019-04-10,125.25,125.54,125.25,125.54,2716
2019-04-11,125.28,125.58,125.28,125.5,3267
2019-04-12,125.43,125.6,125.0,125.14,9325
2019-04-15,125.18,125.18,124.75,124.89,8668
2019-04-16,124.82,124.93,124.64,124.81,4133
2019-04-17,124.63,124.72,124.58,124.69,34223
2019-04-18,124.67,125.14,124.67,125.04,4651
2019-04-23,124.83,124.86,124.65,124.79,3005
2019-04-24,124.74,125.18,124.74,125.16,1954
2019-04-25,125.18,125.18,124.88,124.88,5220
2019-04-26,124.96,125.36,124.96,125.36,3614
2019-04-29,125.24,125.32,125.14,125.32,1100
2019-04-30,125.24,125.38,124.96,125.38,7246
2019-05-01,125.38,125.38,125.38,125.38,0
2019-05-02,125.44,125.48,125.19,125.34,5835
2019-05-03,125.2,125.41,125.15,125.38,5940
2019-05-07,125.4,125.6,125.4,125.6,1949
2019-05-08,125.45,125.58,125.45,125.5,4404
2019-05-09,125.5,125.57,125.29,125.29,2744
2019-05-10,125.4,125.4,125.22,125.36,28472
