Date,Open,High,Low,Close,Volume
2019-01-02,26.47,26.6,26.47,26.6,134400
2019-01-03,26.58,26.69,26.57,26.64,111300
2019-01-04,26.7,27.0,26.67,26.93,258700
2019-01-07,27.03,27.08,26.98,26.98,146900
2019-01-08,26.94,26.98,26.89,26.94,93500
2019-01-09,26.97,27.16,26.97,27.11,92100
2019-01-10,27.11,27.17,27.09,27.12,218100
2019-01-11,27.07,27.13,27.05,27.07,158600
2019-01-14,27.02,27.17,27.02,27.11,212600
2019-01-15,27.12,27.15,27.05,27.1,203600
2019-01-16,27.1,27.2,27.1,27.16,137700
2019-01-17,27.0,27.16,27.0,27.12,106100
2019-01-18,27.11,27.14,27.04,27.06,164000
2019-01-22,26.98,27.01,26.9,26.92,158900
2019-01-23,27.01,27.11,27.01,27.1,112400
2019-01-24,27.11,27.17,27.07,27.07,129900
2019-01-25,27.18,27.26,27.18,27.22,178900
2019-01-28,27.14,27.2,27.14,27.17,230900
2019-01-29,27.24,27.3,27.23,27.29,85800
2019-01-30,27.27,27.55,27.26,27.5,101600
2019-01-31,27.72,27.8,27.72,27.77,211000
2019-02-01,27.54,27.61,27.49,27.56,190000
2019-02-04,27.49,27.56,27.48,27.53,159600
2019-02-05,27.54,27.64,27.54,27.62,429400
2019-02-06,27.48,27.53,27.46,27.48,291000
2019-02-07,27.46,27.46,27.4,27.46,102400
2019-02-08,27.43,27.43,27.35,27.41,91400
2019-02-11,27.3,27.31,27.21,27.24,158300
2019-02-12,27.31,27.42,27.28,27.36,2566900
2019-02-13,27.27,27.28,27.17,27.18,264100
2019-02-14,27.12,27.25,27.09,27.22,103200
2019-02-15,27.28,27.33,27.22,27.33,95300
2019-02-19,27.26,27.37,27.26,27.34,228900
2019-02-20,27.32,27.4,27.31,27.31,162200
2019-02-21,27.26,27.29,27.25,27.28,162600
2019-02-22,27.37,27.4,27.35,27.36,110400
2019-02-25,27.46,27.47,27.4,27.4,200500
2019-02-26,27.41,27.48,27.38,27.44,146500
2019-02-27,27.44,27.45,27.39,27.44,96900
2019-02-28,27.41,27.42,27.33,27.34,132200
2019-03-01,27.19,27.23,27.14,27.15,197800
2019-03-04,27.17,27.18,27.11,27.18,129200
2019-03-05,27.16,27.2,27.15,27.19,153200
2019-03-06,27.15,27.16,27.06,27.07,101000
2019-03-07,27.04,27.04,26.8,26.82,299100
2019-03-08,26.89,26.95,26.89,26.93,97200
2019-03-11,27.0,27.05,26.97,26.99,1309400
2019-03-12,27.06,27.1,27.0,27.01,1202900
2019-03-13,27.01,27.05,26.99,27.02,380900
2019-03-14,26.95,26.98,26.93,26.94,114300
2019-03-15,27.09,27.09,27.03,27.05,443700
2019-03-18,27.11,27.18,27.11,27.16,163300
2019-03-19,27.2,27.24,27.18,27.2,167400
2019-03-20,27.24,27.54,27.21,27.49,319400
2019-03-21,27.51,27.54,27.36,27.45,310600
2019-03-22,27.19,27.21,26.97,26.97,135800
2019-03-25,27.11,27.21,27.09,27.2,102300
2019-03-26,27.18,27.18,27.03,27.11,136200
2019-03-27,26.9,26.93,26.81,26.84,139000
2019-03-28,26.82,26.96,26.8,26.95,191300
2019-03-29,26.94,26.95,26.86,26.91,181300
2019-04-01,26.98,26.99,26.86,26.96,362700
2019-04-02,26.98,26.98,26.88,26.93,118800
2019-04-03,27.01,27.04,26.95,27.02,314500
2019-04-04,26.93,27.03,26.93,27.02,155000
2019-04-05,27.09,27.09,27.05,27.08,133500
2019-04-08,27.05,27.09,27.05,27.07,115300
2019-04-09,27.12,27.14,27.09,27.11,259300
2019-04-10,27.16,27.25,27.16,27.24,131500
2019-04-11,27.13,27.16,27.09,27.09,121800
2019-04-12,27.2,27.24,27.17,27.19,117100
2019-04-15,27.2,27.2,27.14,27.16,125500
2019-04-16,27.1,27.12,27.04,27.04,267400
2019-04-17,27.14,27.19,27.1,27.13,237400
2019-04-18,27.07,27.14,27.07,27.13,156700
2019-04-22,27.07,27.1,27.04,27.1,160900
2019-04-23,26.94,27.05,26.94,27.03,145400
2019-04-24,26.88,26.89,26.71,26.71,200300
2019-04-25,26.63,26.69,26.62,26.67,224200
2019-04-26,26.78,26.78,26.62,26.67,231900
2019-04-29,26.65,26.7,26.64,26.65,376200
2019-04-30,26.66,26.71,26.63,26.71,119800
2019-05-01,26.6,26.75,26.52,26.52,169700
2019-05-02,26.47,26.47,26.36,26.39,320800
2019-05-03,26.48,26.6,26.48,26.6,132100
2019-05-06,26.38,26.48,26.38,26.47,162300
2019-05-07,26.35,26.37,26.27,26.29,132500
2019-05-08,26.38,26.44,26.36,26.39,133800
2019-05-09,26.23,26.38,26.2,26.35,172300
2019-05-10,26.39,26.52,26.37,26.47,81400
2019-05-13,26.27,26.31,26.21,26.26,182300
2019-05-14,26.32,26.38,26.31,26.33,117600
2019-05-15,26.27,26.44,26.27,26.37,102200
2019-05-16,26.36,26.44,26.36,26.38,85600
2019-05-17,26.18,26.24,26.12,26.12,93500
2019-05-20,26.2,26.26,26.19,26.21,89000
2019-05-21,26.18,26.32,26.18,26.32,89200
2019-05-22,26.33,26.37,26.28,26.31,157000
2019-05-23,26.22,26.37,26.22,26.3,84700
2019-05-24,26.41,26.49,26.41,26.49,75500
2019-05-28,26.43,26.45,26.37,26.38,88600
2019-05-29,26.34,26.46,26.33,26.44,89100
2019-05-30,26.45,26.54,26.45,26.48,81100
2019-05-31,26.43,26.6,26.43,26.59,80900
2019-06-03,26.58,26.7,26.58,26.69,133900
2019-06-04,26.64,26.78,26.6,26.75,92000
2019-06-05,26.79,26.85,26.7,26.73,180400
2019-06-06,26.74,26.82,26.74,26.79,146700
2019-06-07,26.82,26.95,26.82,26.88,205700
2019-06-10,26.97,27.04,26.95,27.02,226400
2019-06-11,27.02,27.13,27.02,27.08,203400
2019-06-12,27.06,27.16,27.06,27.07,118500
2019-06-13,27.09,27.13,27.06,27.11,83400
2019-06-14,27.07,27.09,26.97,26.99,128000
2019-06-17,27.01,27.04,26.97,26.97,72900
2019-06-18,27.1,27.28,27.1,27.21,186100
2019-06-19,27.21,27.54,27.19,27.52,186900
2019-06-20,27.7,27.75,27.68,27.69,107100
2019-06-21,27.67,27.69,27.61,27.67,85800
2019-06-24,27.67,27.75,27.67,27.71,83500
2019-06-25,27.74,27.81,27.67,27.68,80300
2019-06-26,27.72,27.75,27.69,27.71,75300
2019-06-27,27.71,27.8,27.7,27.79,75000
2019-06-28,27.78,27.86,27.78,27.82,106300
2019-07-01,27.77,27.84,27.68,27.72,164300
2019-07-02,27.73,27.79,27.7,27.76,160800
2019-07-03,27.76,27.86,27.76,27.82,98200
2019-07-05,27.7,27.75,27.64,27.71,119000
