Date,Open,High,Low,Close,Volume
2019-01-02,13.07,13.2,13.07,13.16,453058
2019-01-03,13.19,13.23,13.13,13.23,152842
2019-01-04,13.17,13.18,13.1,13.11,99225
2019-01-07,13.12,13.17,13.12,13.16,150045
2019-01-08,13.12,13.22,13.11,13.22,552314
2019-01-09,13.14,13.19,13.09,13.18,358692
2019-01-10,13.24,13.24,13.11,13.16,356055
2019-01-11,13.12,13.16,13.09,13.1,344835
2019-01-14,13.07,13.15,13.07,13.09,312787
2019-01-15,13.11,13.17,13.11,13.17,150076
2019-01-16,13.18,13.18,13.03,13.12,384116
2019-01-17,13.16,13.16,13.06,13.07,352584
2019-01-18,12.98,13.07,12.98,13.05,276501
2019-01-21,13.02,13.1,13.02,13.06,277769
2019-01-22,13.04,13.11,13.04,13.07,167568
2019-01-23,13.05,13.12,13.05,13.12,127189
2019-01-24,13.15,13.18,13.1,13.17,233306
2019-01-25,13.11,13.2,13.11,13.12,221316
2019-01-28,13.12,13.18,13.11,13.19,156560
2019-01-29,13.18,13.21,13.18,13.19,343871
2019-01-30,13.19,13.23,13.18,13.22,155310
2019-01-31,13.2,13.26,13.2,13.23,201400
2019-02-01,13.27,13.27,13.19,13.21,153331
2019-02-04,13.14,13.22,13.14,13.15,128407
2019-02-05,13.16,13.23,13.15,13.24,153623
2019-02-06,13.28,13.28,13.22,13.24,174396
2019-02-07,13.22,13.3,13.22,13.29,214388
2019-02-08,13.34,13.34,13.29,13.34,196561
2019-02-11,13.31,13.32,13.28,13.31,123231
2019-02-12,13.28,13.3,13.27,13.3,158353
2019-02-13,13.23,13.32,13.23,13.32,184495
2019-02-14,13.34,13.36,13.3,13.34,127485
2019-02-15,13.31,13.32,13.29,13.31,148391
2019-02-18,13.31,13.33,13.29,13.3,125226
2019-02-19,13.35,13.35,13.28,13.3,338664
2019-02-20,13.27,13.31,13.26,13.27,246117
2019-02-21,13.22,13.28,13.2,13.27,189091
2019-02-22,13.29,13.33,13.28,13.31,352877
2019-02-25,13.28,13.3,13.26,13.28,228755
2019-02-26,13.27,13.27,13.22,13.22,187831
2019-02-27,13.16,13.23,13.1,13.12,226165
2019-02-28,13.1,13.18,13.1,13.11,204964
2019-03-01,13.06,13.14,13.06,13.13,277108
2019-03-04,13.12,13.19,13.11,13.19,154795
2019-03-05,13.19,13.2,13.15,13.19,166610
2019-03-06,13.24,13.27,13.19,13.27,224812
2019-03-07,13.25,13.35,13.2,13.35,316925
2019-03-08,13.38,13.38,13.26,13.26,141753
2019-03-11,13.29,13.31,13.29,13.3,146133
2019-03-12,13.26,13.3,13.22,13.3,142390
2019-03-13,13.29,13.29,13.23,13.25,212549
2019-03-14,13.19,13.24,13.19,13.22,165071
2019-03-15,13.19,13.27,13.19,13.26,266377
2019-03-18,13.27,13.3,13.25,13.28,127363
2019-03-19,13.3,13.31,13.25,13.31,244223
2019-03-20,13.31,13.4,13.31,13.38,363354
2019-03-21,13.44,13.52,13.44,13.52,308439
2019-03-22,13.51,13.62,13.5,13.62,301922
2019-03-25,13.61,13.62,13.55,13.62,294998
2019-03-26,13.6,13.62,13.52,13.52,482774
2019-03-27,13.6,13.6,13.55,13.55,212242
2019-03-28,13.58,13.61,13.52,13.53,378245
2019-03-29,13.61,13.61,13.5,13.53,168097
2019-04-01,13.48,13.54,13.48,13.49,196518
2019-04-02,13.45,13.56,13.45,13.55,213029
2019-04-03,13.44,13.47,13.4,13.44,209933
2019-04-04,13.41,13.44,13.41,13.41,199622
2019-04-05,13.42,13.42,13.34,13.39,310493
2019-04-08,13.37,13.4,13.37,13.38,135855
2019-04-09,13.4,13.42,13.37,13.4,257352
2019-04-10,13.44,13.44,13.38,13.44,257728
2019-04-11,13.41,13.45,13.35,13.35,159713
2019-04-12,13.4,13.4,13.27,13.28,175949
2019-04-15,13.26,13.28,13.24,13.28,532761
2019-04-16,13.28,13.29,13.25,13.27,191419
2019-04-17,13.24,13.26,13.24,13.26,217512
2019-04-18,13.21,13.3,13.21,13.3,186519
2019-04-23,13.24,13.3,13.24,13.25,254678
2019-04-24,13.25,13.31,13.25,13.31,415013
2019-04-25,13.31,13.35,13.31,13.34,118760
2019-04-26,13.35,13.36,13.34,13.36,206122
2019-04-29,13.35,13.35,13.32,13.34,134513
2019-04-30,13.31,13.35,13.28,13.31,153794
2019-05-01,13.31,13.35,13.31,13.36,73345
2019-05-02,13.38,13.38,13.27,13.27,528412
2019-05-03,13.25,13.32,13.25,13.25,190239
2019-05-07,13.25,13.34,13.25,13.34,125369
2019-05-08,13.3,13.41,13.3,13.4,360493
2019-05-09,13.38,13.4,13.38,13.38,100846
2019-05-10,13.4,13.4,13.36,13.38,121766
2019-05-13,13.37,13.41,13.37,13.4,153733
2019-05-14,13.38,13.43,13.38,13.4,115982
2019-05-15,13.46,13.51,13.45,13.46,205444
2019-05-16,13.43,13.43,13.37,13.37,137666
2019-05-17,13.37,13.44,13.37,13.4,161567
2019-05-20,13.4,13.4,13.37,13.37,129975
2019-05-21,13.35,13.4,13.32,13.35,113901
