Date,Open,High,Low,Close,Volume
2019-01-02,123.56,123.74,123.53,123.45,2546
2019-01-03,123.77,123.85,123.33,124.01,1958
2019-01-04,123.36,123.51,123.36,123.36,8451
2019-01-07,123.55,123.7,123.47,123.58,5671
2019-01-08,123.13,123.39,123.12,123.22,3031
2019-01-09,122.88,123.75,122.88,123.52,5041
2019-01-10,123.3,123.83,123.3,123.63,5481
2019-01-11,123.63,123.73,123.36,123.31,3018
2019-01-14,123.36,123.63,123.12,123.17,8945
2019-01-15,123.06,123.97,123.06,123.88,12312
2019-01-16,123.99,123.99,123.32,123.77,4661
2019-01-17,121.67,121.95,121.67,121.75,10810
2019-01-18,121.51,122.1,121.5,121.82,6546
2019-01-21,121.96,122.39,121.96,122.1,1924
2019-01-22,121.99,122.28,121.99,122.11,3058
2019-01-23,121.93,122.31,121.83,122.32,4186
2019-01-24,122.47,123.02,122.27,122.89,4031
2019-01-25,122.74,122.87,122.57,122.62,4404
2019-01-28,122.5,122.9,122.41,123.1,5503
2019-01-29,122.99,123.08,122.94,122.97,13341
2019-01-30,123.19,123.3,123.15,123.33,6734
2019-01-31,123.61,124.16,123.61,123.96,17541
2019-02-01,123.72,123.84,123.56,123.69,1910
2019-02-04,123.65,123.65,123.45,123.38,2727
2019-02-05,123.76,123.83,123.76,123.93,652
2019-02-06,124.0,124.1,123.92,124.1,3632
2019-02-07,124.33,124.61,124.27,124.27,3393
2019-02-08,124.3,124.56,124.3,124.64,2497
2019-02-11,124.33,124.33,124.26,124.38,4973
2019-02-12,124.28,124.56,124.27,124.27,1280
2019-02-13,124.4,124.54,124.29,124.5,5299
2019-02-14,124.53,124.83,124.53,124.82,1224
2019-02-15,124.65,124.65,124.55,124.69,1211
2019-02-18,124.67,124.71,124.6,124.74,1830
2019-02-19,125.0,125.0,124.54,124.68,1173
2019-02-20,124.73,124.74,124.45,124.45,5663
2019-02-21,124.29,124.61,124.25,124.47,4608
2019-02-22,124.6,124.89,124.59,124.73,2480
2019-02-25,124.76,124.76,124.47,124.65,6392
2019-02-26,124.44,124.68,124.22,124.49,3145
2019-02-27,124.45,124.45,123.65,123.87,1802
2019-02-28,123.9,123.95,123.74,123.91,1864
2019-03-01,123.91,123.96,123.91,123.96,2218
2019-03-04,124.04,124.59,124.03,124.59,1753
2019-03-05,124.25,124.64,124.22,124.5,1813
2019-03-06,124.66,125.15,124.66,125.03,1058
2019-03-07,124.91,125.72,124.91,125.56,2175
2019-03-08,125.4,125.4,125.27,125.07,1083
2019-03-11,125.15,125.4,125.15,125.33,1503
2019-03-12,124.96,125.45,124.96,125.47,2546
2019-03-13,125.21,125.34,124.99,125.15,3124
2019-03-14,124.92,125.25,124.92,125.22,6741
2019-03-15,125.35,125.64,125.35,125.46,2507
2019-03-18,125.56,125.65,125.51,125.76,2572
2019-03-19,125.7,125.84,125.65,125.86,2022
2019-03-20,126.0,126.36,126.0,126.36,4856
2019-03-21,126.92,127.11,126.92,127.17,1572
2019-03-22,127.2,127.61,127.2,127.49,12019
2019-03-25,127.48,127.67,127.13,127.54,8317
2019-03-26,127.3,127.47,127.09,127.29,6800
2019-03-27,127.25,127.25,127.06,127.19,2899
2019-03-28,127.41,127.46,127.1,127.39,37446
2019-03-29,127.54,127.54,126.95,127.06,6022
2019-04-01,127.15,127.48,127.15,127.3,14346
2019-04-02,127.46,127.81,127.46,127.48,6936
2019-04-03,127.0,127.09,126.89,127.06,3136
2019-04-04,127.05,127.12,127.05,126.91,794
2019-04-05,126.73,126.73,126.4,126.58,9777
2019-04-08,126.93,126.93,126.49,126.7,4172
2019-04-09,126.64,126.64,126.5,126.65,11257
2019-04-10,126.53,127.17,126.53,127.17,3075
2019-04-11,126.98,126.98,126.5,126.57,844
2019-04-12,126.62,126.62,126.15,126.27,4843
2019-04-15,126.11,126.22,126.02,126.19,4592
2019-04-16,126.23,126.61,126.23,126.46,6397
2019-04-17,126.21,126.29,126.2,126.36,3226
2019-04-18,126.6,126.95,126.6,126.86,1563
2019-04-23,126.77,126.83,126.52,126.64,15031
2019-04-24,127.13,127.16,126.96,127.14,13824
2019-04-25,127.37,127.47,127.16,127.38,1463
2019-04-26,127.62,127.62,127.55,127.55,3181
2019-04-29,127.61,127.71,127.42,127.55,1115
2019-04-30,127.42,127.42,127.24,127.4,3430
2019-05-01,127.51,127.92,127.51,127.83,538
2019-05-02,127.55,127.85,127.25,127.36,12311
2019-05-03,127.15,127.68,127.1,127.18,9999
2019-05-07,127.68,127.68,127.5,127.46,649
2019-05-08,127.73,127.73,127.34,127.45,8958
2019-05-09,127.57,127.57,127.46,127.41,1310
2019-05-10,127.45,127.45,127.25,127.35,2131
2019-05-13,127.22,127.33,127.22,127.46,1737
2019-05-14,127.43,127.43,127.41,127.42,629
2019-05-15,127.65,127.92,127.55,127.64,3542
2019-05-16,127.77,127.77,127.6,127.62,1810
2019-05-17,128.0,128.25,127.93,127.96,4414
2019-05-20,127.63,127.86,127.55,127.67,2297
2019-05-21,127.51,127.52,127.2,127.38,5727
2019-05-22,127.65,127.65,127.57,127.68,2429
2019-05-23,127.9,128.1,127.73,128.01,12036
2019-05-24,128.1,128.15,127.9,128.08,10992
2019-05-28,128.57,128.57,128.1,128.18,2365
2019-05-29,128.0,128.05,128.0,128.2,1896
2019-05-30,128.03,128.44,128.03,128.29,11430
2019-05-31,128.33,128.35,128.14,128.32,13185
2019-06-03,128.58,128.59,128.5,128.59,877
2019-06-04,128.22,128.22,128.22,128.35,1381
2019-06-05,128.72,129.23,128.67,128.67,11556
2019-06-06,129.42,129.42,129.42,129.33,791
2019-06-07,129.19,129.8,129.19,129.75,2213
2019-06-10,129.32,129.8,129.32,129.71,1616
2019-06-11,129.45,129.79,129.45,129.74,4065
2019-06-12,129.66,129.7,129.58,129.35,1841
2019-06-13,129.79,129.79,129.79,129.9,1920
2019-06-14,130.05,130.05,129.9,129.9,1226
2019-06-17,129.8,129.98,129.56,129.88,1419
2019-06-18,130.15,130.15,130.15,130.41,1952
2019-06-19,129.89,129.89,129.89,130.08,1476
2019-06-20,130.85,130.9,130.55,131.09,1628
2019-06-21,130.54,130.74,130.51,130.69,752
2019-06-24,131.02,131.02,131.02,131.15,701
2019-06-25,131.59,131.59,130.98,131.21,1570
2019-06-26,131.22,131.22,131.01,130.87,2624
2019-06-27,130.62,130.73,130.62,130.73,706
2019-06-28,130.92,131.03,130.8,130.69,34788
2019-07-01,131.08,131.27,130.79,131.09,1103
2019-07-02,131.7,131.7,131.54,132.07,2277
2019-07-03,132.71,132.88,132.59,132.68,1423
2019-07-04,133.13,133.25,133.13,133.01,7231
2019-07-05,132.83,132.84,132.39,132.21,480
2019-07-08,132.83,133.0,132.52,132.68,2362
2019-07-09,132.0,132.67,132.0,132.52,1422
2019-07-10,132.01,132.5,132.01,132.19,2316
2019-07-11,130.53,130.53,129.75,129.82,2764
2019-07-12,129.91,130.07,129.76,130.07,3095
2019-07-15,130.07,130.57,130.07,130.41,1891
2019-07-16,130.38,130.38,130.08,130.2,3591
2019-07-17,130.49,130.78,130.49,130.71,3262
2019-07-18,130.58,130.9,130.58,130.68,1579
2019-07-19,131.01,131.01,130.72,130.96,1076
2019-07-22,130.43,131.44,130.43,131.38,1921
2019-07-23,131.27,131.7,131.27,131.65,1572
2019-07-24,131.61,131.82,131.52,131.73,1455
2019-07-25,132.07,132.07,131.17,131.53,1830
2019-07-26,131.77,131.92,131.7,131.84,2261
2019-07-29,131.91,132.28,131.9,132.02,1458
2019-07-30,131.82,132.03,131.79,131.88,1870
2019-07-31,132.02,132.23,131.73,132.24,866
2019-08-01,132.18,132.9,131.97,132.71,1712
2019-08-02,132.85,133.14,132.67,132.83,3229
2019-08-05,133.15,133.39,133.08,133.2,1458
2019-08-06,133.2,133.26,132.8,133.26,2201
2019-08-07,133.61,133.9,133.3,133.57,746
2019-08-08,133.16,133.21,132.79,132.96,1013
2019-08-09,133.47,133.55,133.26,133.43,2307
2019-08-12,133.35,133.35,132.99,133.26,2064
2019-08-13,133.11,133.69,132.99,133.31,1412
2019-08-14,133.54,133.91,133.45,133.85,2384
2019-08-15,134.18,134.45,133.74,134.31,2067
2019-08-16,133.91,134.59,133.57,133.95,10544
2019-08-19,133.39,133.58,133.2,133.45,939
2019-08-20,134.0,134.11,133.53,133.74,6448
2019-08-21,133.6,134.0,133.45,133.75,10733
2019-08-22,133.23,133.67,133.23,133.15,651
2019-08-23,132.75,133.07,132.67,133.22,29571
2019-08-27,133.06,134.0,133.06,133.93,3975
2019-08-28,134.02,134.57,133.96,134.46,1620
2019-08-29,134.01,134.69,133.91,134.5,1196
2019-08-30,134.4,134.62,133.94,134.12,1568
2019-09-02,134.05,134.73,134.05,134.76,2016
2019-09-03,135.19,135.65,134.92,135.02,1677
2019-09-04,133.97,134.61,133.8,133.97,1342
2019-09-05,133.05,134.26,132.3,132.55,7590
2019-09-06,133.1,134.03,132.66,133.79,7963
2019-09-09,133.54,134.04,132.78,132.96,1531
2019-09-10,132.79,133.06,132.38,132.5,2405
2019-09-11,131.93,132.58,131.93,132.45,649
2019-09-12,132.41,133.57,132.27,132.52,2519
2019-09-13,131.95,132.39,131.31,131.51,5685
2019-09-16,131.6,132.55,131.34,132.32,4641
2019-09-17,132.37,132.72,132.06,132.25,12400
2019-09-18,133.14,133.14,132.67,132.98,565
2019-09-19,133.15,133.33,132.76,133.03,1718
2019-09-20,132.91,133.39,132.86,133.2,3356
2019-09-23,133.74,134.25,133.2,134.12,15032
2019-09-24,133.85,134.41,133.73,134.26,11502
2019-09-25,134.52,134.59,133.91,134.19,1548
2019-09-26,134.24,134.28,133.93,134.12,2069
2019-09-27,134.39,134.59,134.09,133.98,1603
2019-09-30,133.97,134.11,133.62,133.82,9636
2019-10-01,132.98,134.0,132.88,133.93,1225
2019-10-02,133.63,133.72,133.25,133.57,912
2019-10-03,133.64,133.85,133.14,133.29,10025
2019-10-04,133.68,133.78,133.47,133.6,1275
2019-10-07,133.44,133.71,133.36,133.42,2892
2019-10-08,133.29,134.01,133.29,133.87,2581
2019-10-09,133.41,133.55,133.13,133.36,888
2019-10-10,132.89,133.55,132.29,132.53,2984
2019-10-11,132.31,132.44,130.99,131.18,3624
2019-10-14,132.19,132.44,131.14,131.91,1468
2019-10-15,131.85,132.27,131.3,131.44,11405
2019-10-16,132.12,132.37,131.47,131.8,2277
2019-10-17,132.07,132.23,130.83,132.17,3391
2019-10-18,132.04,132.04,131.58,132.04,1551
2019-10-21,131.53,131.85,131.21,131.7,2818
2019-10-22,132.29,132.49,131.73,132.21,6514
2019-10-23,132.1,132.88,132.1,132.59,876
2019-10-24,132.42,133.37,132.25,133.29,2468
2019-10-25,133.2,133.2,132.75,132.91,2228
2019-10-28,132.58,133.01,132.09,132.26,1821
2019-10-29,132.16,132.58,132.1,132.32,2711
2019-10-30,132.65,132.77,132.42,132.74,1809
2019-10-31,133.18,133.36,132.99,133.3,1784
2019-11-01,133.2,133.44,133.17,133.21,9355
2019-11-04,132.78,133.19,132.58,132.7,2854
2019-11-05,132.81,132.81,132.15,132.31,1695
2019-11-06,132.42,132.57,131.89,132.63,971
2019-11-07,132.65,132.66,132.26,132.51,2136
2019-11-08,132.06,132.41,131.71,132.05,10964
2019-11-11,131.96,132.29,131.57,131.75,13813
2019-11-12,131.8,131.91,131.46,131.78,49180
2019-11-13,132.3,132.56,131.87,132.26,9553
2019-11-14,132.5,132.81,132.28,132.72,3036
2019-11-15,133.12,133.12,132.3,132.52,806
2019-11-18,132.44,132.55,132.15,132.38,2741
2019-11-19,132.41,132.64,132.3,132.49,11070
2019-11-20,132.36,133.07,132.26,132.4,384
2019-11-21,132.35,132.55,131.87,132.01,1905
2019-11-22,132.6,132.74,132.25,132.57,2770
2019-11-25,132.46,132.84,132.12,132.69,1440
2019-11-26,133.15,133.51,132.82,133.35,3903
2019-11-27,133.45,133.45,132.88,133.04,2280
2019-11-28,133.24,133.31,132.96,133.13,582
2019-11-29,133.37,133.45,132.92,133.1,2211
2019-12-02,132.69,132.88,132.44,132.76,850
2019-12-03,132.44,132.98,132.27,133.26,14211
2019-12-04,133.85,133.85,132.63,132.7,10110
2019-12-05,132.6,132.65,132.27,132.48,2552
2019-12-06,132.51,132.91,132.47,132.7,1153
2019-12-09,132.67,133.05,132.67,132.8,1555
2019-12-10,132.53,132.82,132.49,132.66,1079
2019-12-11,132.98,133.01,132.62,132.85,1752
2019-12-12,132.87,133.19,132.19,132.24,1576
2019-12-13,132.14,132.94,132.14,133.3,8994
