Date,Open,High,Low,Close,Volume
2019-01-02,80.72,81.11,80.65,80.99,26977400
2019-01-03,80.91,81.16,80.78,81.03,32776600
2019-01-04,81.67,82.5,81.57,82.39,38754000
2019-01-07,82.58,83.19,82.57,83.19,38127600
2019-01-08,83.39,83.74,83.26,83.73,30795000
2019-01-09,83.85,84.01,83.79,83.83,40909400
2019-01-10,83.66,84.21,83.55,84.16,50520000
2019-01-11,83.82,83.98,83.78,83.89,19793300
2019-01-14,83.67,83.77,83.55,83.62,20137700
2019-01-15,83.62,83.94,83.55,83.9,24799000
2019-01-16,84.01,84.14,83.96,84.03,26508100
2019-01-17,83.94,84.29,83.89,84.26,24574400
2019-01-18,84.42,84.67,84.39,84.5,36236400
2019-01-22,84.33,84.34,83.83,83.94,25504200
2019-01-23,84.06,84.23,83.87,84.11,18529400
2019-01-24,84.08,84.22,83.94,84.2,17875500
2019-01-25,84.36,84.49,84.34,84.41,16775200
2019-01-28,84.19,84.33,84.07,84.28,14694100
2019-01-29,84.35,84.35,84.03,84.23,18717000
2019-01-30,84.34,85.03,84.33,84.9,25993500
2019-01-31,84.88,85.24,84.88,85.11,27070400
2019-02-01,84.66,84.76,84.54,84.68,24749900
2019-02-04,84.69,84.93,84.61,84.88,15968400
2019-02-05,84.94,85.27,84.93,85.18,33188300
2019-02-06,85.11,85.21,85.02,85.1,25936800
2019-02-07,84.83,84.9,84.66,84.81,27119400
2019-02-08,84.71,84.81,84.58,84.79,16728100
2019-02-11,84.77,84.87,84.7,84.83,10051800
2019-02-12,85.08,85.27,85.07,85.24,20174000
2019-02-13,85.29,85.31,85.05,85.12,25088400
2019-02-14,84.98,85.22,84.86,85.13,19406700
2019-02-15,85.28,85.46,85.28,85.4,24052000
2019-02-19,85.3,85.48,85.26,85.43,11317700
2019-02-20,85.46,85.55,85.33,85.5,9925700
2019-02-21,85.45,85.53,85.35,85.42,15479800
2019-02-22,85.52,85.67,85.49,85.59,12330300
2019-02-25,85.71,85.83,85.62,85.66,13698200
2019-02-26,85.72,85.87,85.67,85.77,16049300
2019-02-27,85.8,85.86,85.73,85.8,14818900
2019-02-28,85.78,85.83,85.7,85.75,21340600
2019-03-01,85.55,85.66,85.5,85.61,26455300
2019-03-04,85.71,85.75,85.34,85.48,16034400
2019-03-05,85.48,85.49,85.36,85.44,14510100
2019-03-06,85.4,85.42,85.26,85.3,16806400
2019-03-07,85.33,85.34,85.08,85.24,28101100
2019-03-08,84.98,85.12,84.81,85.1,21043400
2019-03-11,85.07,85.39,85.05,85.38,17922400
2019-03-12,85.31,85.58,85.29,85.53,20180500
2019-03-13,85.58,85.77,85.56,85.76,24524800
2019-03-14,85.72,85.83,85.68,85.7,12342500
2019-03-15,85.76,85.88,85.75,85.78,21775300
2019-03-18,85.79,85.83,85.67,85.75,10498900
2019-03-19,85.81,85.96,85.75,85.8,14067200
2019-03-20,85.81,86.3,85.65,86.17,31184400
2019-03-21,86.06,86.26,86.04,86.15,16400700
2019-03-22,86.02,86.05,85.75,85.84,27030400
2019-03-25,85.78,85.91,85.65,85.81,23592100
2019-03-26,85.95,86.15,85.89,86.02,18762700
2019-03-27,86.07,86.24,85.88,86.08,16706700
2019-03-28,86.09,86.25,86.04,86.25,19706700
2019-03-29,86.32,86.53,86.3,86.47,22358900
2019-04-01,86.21,86.28,86.05,86.07,21353900
2019-04-02,86.09,86.14,85.94,86.11,15129300
2019-04-03,86.2,86.31,86.1,86.14,13746500
2019-04-04,86.15,86.28,86.13,86.27,14435700
2019-04-05,86.36,86.5,86.34,86.43,14227000
2019-04-08,86.39,86.41,86.31,86.38,11472100
2019-04-09,86.33,86.42,86.27,86.32,19118700
2019-04-10,86.43,86.7,86.43,86.7,16767000
2019-04-11,86.69,86.86,86.65,86.83,20976100
2019-04-12,86.93,87.01,86.79,86.96,17442800
2019-04-15,86.95,86.95,86.83,86.9,13940000
2019-04-16,86.96,86.97,86.82,86.85,11543800
2019-04-17,86.94,86.94,86.63,86.64,11818600
2019-04-18,86.79,86.79,86.58,86.68,15295500
2019-04-22,86.62,86.66,86.52,86.53,24591400
2019-04-23,86.64,86.88,86.59,86.83,15094100
2019-04-24,86.85,86.85,86.7,86.71,11938800
