Date,Open,High,Low,Close,Volume
2019-01-02,24.82,24.85,24.8,24.85,18480500
2019-01-03,24.87,25.0,24.85,24.99,4059100
2019-01-04,24.88,24.88,24.83,24.86,2194300
2019-01-07,24.87,24.89,24.8,24.81,2695400
2019-01-08,24.79,24.8,24.76,24.76,2176800
2019-01-09,24.77,24.79,24.74,24.76,1462600
2019-01-10,24.78,24.8,24.73,24.73,18482800
2019-01-11,24.78,24.81,24.76,24.79,3154000
2019-01-14,24.8,24.8,24.76,24.76,1656700
2019-01-15,24.78,24.8,24.75,24.76,18080700
2019-01-16,24.73,24.77,24.71,24.75,4244200
2019-01-17,24.76,24.77,24.72,24.74,6207800
2019-01-18,24.71,24.73,24.66,24.69,6046300
2019-01-22,24.74,24.78,24.72,24.74,8197600
2019-01-23,24.71,24.76,24.7,24.74,8273200
2019-01-24,24.79,24.81,24.76,24.8,8450000
2019-01-25,24.76,24.77,24.74,24.76,7439100
2019-01-28,24.75,24.78,24.74,24.76,1955000
2019-01-29,24.75,24.8,24.75,24.8,1619900
2019-01-30,24.79,24.84,24.76,24.83,3950600
2019-01-31,24.87,24.93,24.87,24.9,16611800
2019-02-01,24.85,24.85,24.78,24.79,2097900
2019-02-04,24.76,24.77,24.73,24.75,10477200
2019-02-05,24.78,24.81,24.76,24.79,2300600
2019-02-06,24.82,24.83,24.78,24.79,1285600
2019-02-07,24.83,24.87,24.82,24.85,1295200
2019-02-08,24.89,24.9,24.87,24.88,1293200
2019-02-11,24.86,24.88,24.84,24.86,1478300
2019-02-12,24.85,24.85,24.81,24.82,1296200
2019-02-13,24.8,24.82,24.78,24.8,1093000
2019-02-14,24.89,24.89,24.84,24.86,1394500
2019-02-15,24.84,24.87,24.83,24.86,1103900
2019-02-19,24.88,24.9,24.87,24.89,1876700
2019-02-20,24.88,24.89,24.86,24.88,1591100
2019-02-21,24.83,24.83,24.8,24.82,1918300
2019-02-22,24.86,24.89,24.84,24.87,7205500
2019-02-25,24.85,24.85,24.82,24.85,4011900
2019-02-26,24.88,24.9,24.86,24.89,1994200
2019-02-27,24.85,24.86,24.8,24.83,1449400
2019-02-28,24.82,24.82,24.76,24.79,2353800
2019-03-01,24.7,24.72,24.66,24.68,3049800
2019-03-04,24.71,24.74,24.69,24.74,2377300
2019-03-05,24.71,24.75,24.69,24.75,1679300
2019-03-06,24.75,24.8,24.74,24.79,1327800
2019-03-07,24.82,24.86,24.81,24.85,2003800
2019-03-08,24.87,24.89,24.84,24.89,1568800
2019-03-11,24.88,24.88,24.84,24.84,1812400
2019-03-12,24.88,24.93,24.86,24.92,1606300
2019-03-13,24.88,24.92,24.88,24.91,2215800
2019-03-14,24.9,24.91,24.85,24.87,1827200
2019-03-15,24.92,24.94,24.89,24.92,3479400
2019-03-18,24.91,24.93,24.9,24.91,2442300
2019-03-19,24.88,24.91,24.86,24.9,5795000
2019-03-20,24.91,25.01,24.91,25.01,2864900
2019-03-21,25.01,25.03,24.99,25.01,1030500
2019-03-22,25.08,25.17,25.08,25.15,8876200
2019-03-25,25.16,25.24,25.13,25.19,2132900
2019-03-26,25.16,25.21,25.14,25.19,1804700
2019-03-27,25.23,25.28,25.21,25.25,2161600
2019-03-28,25.25,25.27,25.22,25.25,1759400
2019-03-29,25.2,25.24,25.18,25.24,3022100
2019-04-01,25.12,25.13,25.05,25.05,3013200
2019-04-02,25.09,25.1,25.07,25.07,5009000
2019-04-03,25.03,25.05,25.02,25.03,2725000
2019-04-04,25.03,25.06,25.03,25.05,4989200
2019-04-05,25.04,25.07,25.02,25.06,1867400
2019-04-08,25.06,25.06,25.02,25.04,1735200
2019-04-09,25.06,25.09,25.05,25.07,31117800
2019-04-10,25.09,25.11,25.07,25.1,4283300
2019-04-11,25.07,25.08,25.04,25.05,8065900
2019-04-12,24.99,25.01,24.97,24.98,3406700
2019-04-15,24.98,25.0,24.97,25.0,2492500
2019-04-16,24.97,24.98,24.93,24.93,2957400
2019-04-17,24.94,24.97,24.93,24.96,3402000
2019-04-18,25.0,25.01,24.98,25.0,6885300
2019-04-22,24.98,24.98,24.96,24.97,2314500
2019-04-23,25.0,25.01,24.98,25.0,2287600
2019-04-24,25.05,25.07,25.03,25.07,2653100
2019-04-25,25.05,25.08,25.04,25.06,1558600
2019-04-26,25.11,25.11,25.09,25.1,2142400
2019-04-29,25.07,25.08,25.04,25.06,1724700
2019-04-30,25.05,25.11,25.04,25.09,5527900
