Date,Open,High,Low,Close,Volume
2019-01-02,48.43,48.44,48.22,48.4,274000
2019-01-03,48.45,48.73,48.45,48.73,105600
2019-01-04,48.42,48.71,48.4,48.66,53500
2019-01-07,48.69,48.81,48.69,48.8,131200
2019-01-08,48.53,48.66,48.47,48.55,69600
2019-01-09,48.67,49.0,48.67,48.99,100700
2019-01-10,48.94,48.99,48.83,48.83,44500
2019-01-11,48.91,48.93,48.78,48.83,61500
2019-01-14,48.88,48.96,48.83,48.91,96100
2019-01-15,48.85,48.89,48.62,48.7,43700
2019-01-16,48.69,48.74,48.62,48.69,196900
2019-01-17,48.63,48.67,48.55,48.56,79100
2019-01-18,48.52,48.56,48.31,48.37,53100
2019-01-22,48.5,48.57,48.42,48.42,122500
2019-01-23,48.45,48.69,48.45,48.54,51100
2019-01-24,48.69,48.69,48.48,48.57,49600
2019-01-25,48.73,48.93,48.69,48.93,72000
2019-01-28,48.85,49.02,48.78,48.97,109700
2019-01-29,48.96,49.0,48.86,48.97,68600
2019-01-30,48.88,49.19,48.77,49.14,104600
2019-01-31,49.29,49.29,49.05,49.14,474500
2019-02-01,49.18,49.19,48.99,49.02,158100
2019-02-04,48.85,48.91,48.79,48.9,106100
2019-02-05,48.85,48.86,48.74,48.8,96300
2019-02-06,48.73,48.75,48.57,48.59,68400
2019-02-07,48.62,48.64,48.56,48.62,56300
2019-02-08,48.66,48.68,48.56,48.6,78200
2019-02-11,48.39,48.41,48.29,48.39,104300
2019-02-12,48.39,48.48,48.26,48.45,62100
2019-02-13,48.31,48.36,48.21,48.21,385500
2019-02-14,48.46,48.46,48.32,48.43,88700
2019-02-15,48.44,48.52,48.32,48.47,45100
2019-02-19,48.5,48.68,48.47,48.66,86400
2019-02-20,48.66,48.77,48.58,48.67,84100
2019-02-21,48.64,48.64,48.52,48.6,29900
2019-02-22,48.67,48.72,48.62,48.66,31600
2019-02-25,48.7,48.72,48.57,48.72,44800
2019-02-26,48.75,48.91,48.62,48.91,73800
2019-02-27,48.8,48.8,48.69,48.73,81400
2019-02-28,48.68,48.68,48.53,48.61,70300
2019-03-01,48.5,48.58,48.39,48.5,215500
2019-03-04,48.37,48.44,48.22,48.44,95800
2019-03-05,48.3,48.4,48.21,48.32,201800
2019-03-06,48.36,48.55,48.3,48.55,141000
2019-03-07,48.38,48.44,48.28,48.29,77600
2019-03-08,48.5,48.56,48.44,48.45,41300
2019-03-11,48.54,48.62,48.45,48.45,27500
2019-03-12,48.57,48.8,48.53,48.63,58200
2019-03-13,48.69,48.85,48.69,48.78,59100
2019-03-14,48.68,48.75,48.61,48.61,53400
2019-03-15,48.76,48.85,48.7,48.84,29100
2019-03-18,48.86,48.92,48.79,48.79,355300
2019-03-19,48.89,48.95,48.78,48.95,144700
2019-03-20,48.89,49.3,48.86,49.2,52400
2019-03-21,49.23,49.25,49.03,49.08,56000
2019-03-22,49.21,49.29,49.14,49.25,34000
